Žurnāls: ppo_trader_Clean Baseline_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00134  -0.0004  0.0436  1.300?    0.0%  -0.868  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.00132  -0.0003  0.0210  1.305?    0.0%  -0.396  3.00e-04  30.7%/24.8%/26.6%/18.0%
     1,536     3    -0.00125  -0.0005  0.0148  1.291?    0.0%  -0.135  3.00e-04  30.5%/25.0%/25.4%/19.1%
     2,048     4    -0.00127  -0.0007  0.0138  1.304?    0.0%  +0.537  2.99e-04  30.1%/29.3%/22.9%/17.8%
     2,560     5    -0.00131  -0.0008  0.0130  1.294?    0.0%  +0.202  2.99e-04  31.1%/24.8%/26.2%/18.0%
     3,072     6    -0.00131  -0.0005  0.0103  1.309→    0.0%  +0.171  2.99e-04  23.8%/26.0%/31.2%/18.9%
     3,584     7    -0.00131  -0.0000  0.0089  1.299→    0.0%  +0.387  2.98e-04  28.5%/26.2%/26.2%/19.1%
     4,096     8    -0.00131  +0.0000  0.0089  1.310→    0.0%  -0.046  2.98e-04  29.7%/22.7%/29.7%/18.0%
     4,608     9    -0.00133  -0.0007  0.0061  1.306↑    0.0%  +0.379  2.97e-04  29.1%/27.1%/24.8%/18.9%
     5,120    10    -0.00141  -0.0004  0.0065  1.304→    0.0%  +0.458  2.97e-04  29.5%/27.1%/26.4%/17.0%
     5,632    11    -0.00149  -0.0005  0.0058  1.312→    0.0%  +0.533  2.96e-04  26.0%/28.3%/26.8%/18.9%
     6,144    12    -0.00151  -0.0011  0.0057  1.311↑    0.0%  -0.107  2.95e-04  31.6%/29.1%/24.2%/15.0%
     6,656    13    -0.00154  -0.0001  0.0062  1.314↑    0.0%  -0.338  2.94e-04  24.8%/27.3%/29.1%/18.8%
     7,168    14    -0.00158  -0.0005  0.0043  1.308↑    0.0%  -0.457  2.93e-04  28.3%/25.0%/28.7%/18.0%
     7,680    15    -0.00182  -0.0006  0.0085  1.302↑    0.0%  -0.129  2.92e-04  27.5%/25.8%/28.5%/18.2%
     8,192    16    -0.00188  -0.0007  0.0046  1.295↑    0.0%  +0.425  2.91e-04  30.1%/26.0%/24.8%/19.1%
     8,704    17    -0.00196  -0.0002  0.0048  1.300→    0.0%  -0.407  2.90e-04  29.3%/26.8%/24.8%/19.1%
     9,216    18    -0.00200  -0.0005  0.0033  1.301→    0.0%  -0.827  2.89e-04  28.5%/29.3%/23.2%/18.9%
     9,728    19    -0.00201  -0.0005  0.0032  1.312→    0.0%  -0.817  2.88e-04  26.4%/26.6%/30.1%/17.0%
    10,240    20    -0.00193  -0.0002  0.0023  1.304→    0.0%  -0.932  2.86e-04  26.4%/27.0%/28.9%/17.8%
    10,752    21    -0.00188  -0.0008  0.0025  1.309↑    0.0%  -2.015  2.85e-04  27.3%/26.4%/28.9%/17.4%
    11,264    22    -0.00189  -0.0006  0.0022  1.299↑    0.0%  -1.021  2.84e-04  24.0%/29.9%/25.2%/20.9%
    11,776    23    -0.00188  -0.0003  0.0024  1.298↑    0.0%  -2.470  2.82e-04  29.1%/25.4%/26.8%/18.8%
    12,288    24    -0.00193  -0.0005  0.0023  1.314↑    0.0%  -0.646  2.81e-04  27.5%/29.3%/25.0%/18.2%
    12,800    25    -0.00179  -0.0005  0.0031  1.298→    0.0%  -0.194  2.79e-04  27.3%/27.7%/24.6%/20.3%
    13,312    26    -0.00182  -0.0003  0.0026  1.318↑    0.0%  +0.274  2.77e-04  23.4%/28.7%/30.9%/17.0%
    13,824    27    -0.00187  -0.0004  0.0033  1.309↑    0.0%  -0.718  2.75e-04  26.2%/28.5%/28.1%/17.2%
    14,336    28    -0.00187  +0.0003  0.0026  1.305↑    0.0%  -1.598  2.74e-04  30.1%/23.8%/28.3%/17.8%
    14,848    29    -0.00206  -0.0009  0.0050  1.300↑    0.0%  +0.045  2.72e-04  25.6%/27.7%/26.4%/20.3%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_DOGE\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00216  -0.0005  0.0026  1.303↑    0.0%  -0.506  2.70e-04  25.6%/23.8%/31.1%/19.5%
    15,872    31    -0.00232  -0.0007  0.0033  1.291→    0.0%  +0.180  2.68e-04  29.1%/22.9%/29.5%/18.6%
    16,384    32    -0.00246  -0.0001  0.0028  1.290→    0.0%  +0.508  2.66e-04  27.9%/22.9%/27.0%/22.3%
    16,896    33    -0.00258  -0.0006  0.0028  1.290→    0.0%  +0.708  2.64e-04  30.3%/26.4%/25.0%/18.4%
    17,408    34    -0.00264  +0.0006  0.0033  1.306→    0.0%  +0.698  2.62e-04  26.0%/30.3%/25.8%/18.0%
    17,920    35    -0.00305  -0.0009  0.0307  1.305→    0.0%  +0.442  2.60e-04  28.1%/26.4%/27.9%/17.6%
    18,432    36    -0.00323  -0.0004  0.0110  1.295→    0.0%  +0.826  2.57e-04  27.7%/25.6%/27.3%/19.3%
    18,944    37    -0.00331  -0.0009  0.0060  1.298→    0.0%  +0.896  2.55e-04  27.5%/27.1%/26.8%/18.6%
    19,456    38    -0.00335  -0.0001  0.0038  1.293→    0.0%  +0.813  2.53e-04  27.1%/30.5%/22.1%/20.3%
    19,968    39    -0.00325  -0.0008  0.0062  1.302→    0.0%  +0.578  2.50e-04  31.1%/26.4%/27.1%/15.4%
    20,480    40    -0.00347  -0.0002  0.0067  1.291↓    0.0%  +0.816  2.48e-04  25.4%/28.9%/25.6%/20.1%
    20,992    41    -0.00334  +0.0006  0.0040  1.302→    0.0%  +0.773  2.45e-04  26.4%/26.6%/28.5%/18.6%
    21,504    42    -0.00320  -0.0004  0.0043  1.299→    0.0%  +0.802  2.43e-04  30.9%/27.9%/23.4%/17.8%
    22,016    43    -0.00317  -0.0005  0.0038  1.290→    0.0%  +0.328  2.40e-04  30.9%/25.0%/25.8%/18.4%
    22,528    44    -0.00307  -0.0000  0.0031  1.297↓    0.0%  +0.735  2.38e-04  30.9%/29.1%/22.1%/18.0%
    23,040    45    -0.00260  -0.0010  0.0033  1.289↓    0.0%  +0.358  2.35e-04  27.0%/28.3%/25.0%/19.7%
    23,552    46    -0.00244  -0.0012  0.0024  1.303↓    0.0%  +0.835  2.33e-04  26.4%/24.6%/32.2%/16.8%
    24,064    47    -0.00229  -0.0013  0.0019  1.288↓    0.0%  +0.655  2.30e-04  27.1%/29.1%/23.2%/20.5%
    24,576    48    -0.00232  -0.0006  0.0036  1.298↓    0.0%  +0.727  2.27e-04  27.3%/29.1%/25.4%/18.2%
    25,088    49    -0.00245  -0.0013  0.0055  1.278↓    0.0%  +0.529  2.24e-04  32.2%/24.6%/24.8%/18.4%
    25,600    50    -0.00218  -0.0006  0.0025  1.297↓    0.0%  +0.884  2.22e-04  25.6%/25.8%/28.9%/19.7%
    26,112    51    -0.00215  -0.0008  0.0027  1.281↓    0.0%  +0.707  2.19e-04  32.6%/25.6%/25.0%/16.8%
    26,624    52    -0.00212  -0.0011  0.0025  1.304↓    0.0%  +0.748  2.16e-04  27.5%/30.9%/25.0%/16.6%
    27,136    53    -0.00201  -0.0010  0.0030  1.290↓    0.0%  -0.137  2.13e-04  30.3%/24.2%/28.3%/17.2%
