Žurnāls: ppo_trader_Clean Baseline_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00120  -0.0005  0.0373  1.299?    0.0%  -1.265  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00105  +0.0000  0.0255  1.305?    0.0%  -0.522  3.00e-04  30.9%/25.4%/26.0%/17.8%
     1,536     3    -0.00111  +0.0001  0.0185  1.290?    0.0%  -0.812  3.00e-04  29.7%/25.2%/25.8%/19.3%
     2,048     4    -0.00112  -0.0001  0.0151  1.302?    0.0%  -1.904  2.99e-04  30.3%/29.3%/22.7%/17.8%
     2,560     5    -0.00110  -0.0008  0.0089  1.297?    0.0%  -0.336  2.99e-04  29.9%/25.8%/26.0%/18.4%
     3,072     6    -0.00110  -0.0005  0.0090  1.308→    0.0%  -0.969  2.99e-04  23.4%/26.0%/31.6%/18.9%
     3,584     7    -0.00110  -0.0001  0.0072  1.299→    0.0%  -0.154  2.98e-04  28.3%/26.2%/26.2%/19.3%
     4,096     8    -0.00111  -0.0004  0.0073  1.308→    0.0%  -0.271  2.98e-04  28.9%/22.9%/29.3%/18.9%
     4,608     9    -0.00111  -0.0005  0.0060  1.306↑    0.0%  -0.399  2.97e-04  29.1%/28.5%/24.0%/18.4%
     5,120    10    -0.00110  -0.0003  0.0055  1.302→    0.0%  -0.516  2.97e-04  27.3%/28.9%/25.0%/18.8%
     5,632    11    -0.00105  -0.0004  0.0042  1.312↑    0.0%  -0.237  2.96e-04  26.4%/29.9%/25.8%/18.0%
