Žurnāls: ppo_trader_Clean Baseline_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00101  -0.0006  0.0416  1.299?    0.0%  -0.175  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00115  -0.0005  0.0299  1.306?    0.0%  -0.124  3.00e-04  30.3%/25.4%/26.6%/17.8%
     1,536     3    -0.00136  -0.0000  0.0204  1.289?    0.0%  -1.142  3.00e-04  30.1%/24.8%/25.8%/19.3%
     2,048     4    -0.00139  -0.0003  0.0180  1.305?    0.0%  -0.159  2.99e-04  29.5%/29.1%/23.6%/17.8%
     2,560     5    -0.00137  -0.0002  0.0114  1.293?    0.0%  -1.710  2.99e-04  29.9%/25.4%/26.2%/18.6%
     3,072     6    -0.00137  -0.0008  0.0102  1.309→    0.0%  +0.343  2.99e-04  24.0%/26.2%/31.1%/18.8%
     3,584     7    -0.00138  -0.0003  0.0096  1.300↑    0.0%  -0.744  2.98e-04  27.7%/26.8%/26.4%/19.1%
     4,096     8    -0.00136  -0.0003  0.0078  1.305→    0.0%  -0.476  2.98e-04  30.1%/22.9%/28.3%/18.8%
     4,608     9    -0.00138  -0.0006  0.0074  1.307→    0.0%  -1.974  2.97e-04  27.7%/28.1%/25.6%/18.6%
     5,120    10    -0.00136  +0.0000  0.0055  1.296→    0.0%  +0.352  2.97e-04  29.7%/26.2%/25.8%/18.4%
     5,632    11    -0.00137  -0.0004  0.0051  1.313→    0.0%  -0.098  2.96e-04  25.2%/29.3%/26.6%/18.9%
     6,144    12    -0.00140  -0.0001  0.0042  1.310↑    0.0%  -1.695  2.95e-04  31.6%/28.1%/24.8%/15.4%
     6,656    13    -0.00137  -0.0001  0.0041  1.313↑    0.0%  -1.375  2.94e-04  25.8%/26.6%/28.5%/19.1%
     7,168    14    -0.00133  -0.0005  0.0040  1.307↑    0.0%  -0.961  2.93e-04  26.6%/25.6%/29.3%/18.6%
     7,680    15    -0.00140  -0.0006  0.0054  1.298↑    0.0%  -0.283  2.92e-04  28.1%/24.2%/29.1%/18.6%
     8,192    16    -0.00148  -0.0004  0.0037  1.293→    0.0%  -0.745  2.91e-04  30.5%/25.8%/25.0%/18.8%
     8,704    17    -0.00149  -0.0001  0.0035  1.297→    0.0%  -0.406  2.90e-04  30.1%/25.0%/26.4%/18.6%
     9,216    18    -0.00153  -0.0011  0.0032  1.301→    0.0%  -1.106  2.89e-04  29.9%/30.7%/21.3%/18.2%
     9,728    19    -0.00155  -0.0002  0.0030  1.311→    0.0%  -4.723  2.88e-04  25.4%/26.4%/30.7%/17.6%
    10,240    20    -0.00156  -0.0003  0.0027  1.305→    0.0%  -0.488  2.86e-04  26.2%/28.5%/27.7%/17.6%
    10,752    21    -0.00160  -0.0000  0.0037  1.306↑    0.0%  -0.505  2.85e-04  26.6%/27.9%/27.7%/17.8%
    11,264    22    -0.00158  -0.0003  0.0030  1.297→    0.0%  -0.491  2.84e-04  25.6%/30.3%/23.6%/20.5%
    11,776    23    -0.00159  +0.0001  0.0024  1.295→    0.0%  +0.052  2.82e-04  29.3%/27.0%/24.8%/18.9%
    12,288    24    -0.00161  -0.0008  0.0027  1.313→    0.0%  -0.671  2.81e-04  28.5%/28.9%/25.6%/17.0%
    12,800    25    -0.00165  -0.0002  0.0041  1.298→    0.0%  -0.261  2.79e-04  28.7%/29.9%/21.9%/19.5%
    13,312    26    -0.00163  +0.0002  0.0032  1.318→    0.0%  -0.782  2.77e-04  26.0%/28.7%/28.9%/16.4%
    13,824    27    -0.00164  +0.0001  0.0021  1.307→    0.0%  -0.391  2.75e-04  30.3%/28.7%/24.2%/16.8%
    14,336    28    -0.00162  -0.0000  0.0023  1.305→    0.0%  -0.947  2.74e-04  29.7%/24.8%/27.9%/17.6%
    14,848    29    -0.00166  -0.0011  0.0023  1.300↑    0.0%  -0.952  2.72e-04  26.8%/29.5%/24.4%/19.3%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_LTC\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00169  -0.0031  0.0027  1.304→    0.0%  -0.296  2.70e-04  27.3%/26.6%/27.7%/18.4%
    15,872    31    -0.00168  +0.0001  0.0027  1.294→    0.0%  -0.246  2.68e-04  32.2%/26.2%/24.8%/16.8%
    16,384    32    -0.00175  -0.0013  0.0021  1.271→    0.0%  -0.296  2.66e-04  34.4%/24.2%/20.9%/20.5%
    16,896    33    -0.00181  +0.0003  0.0025  1.304→    0.0%  +0.233  2.64e-04  31.2%/31.1%/20.9%/16.8%
    17,408    34    -0.00192  +0.0002  0.0025  1.303→    0.0%  +0.445  2.62e-04  29.5%/31.1%/21.9%/17.6%
    17,920    35    -0.00191  -0.0009  0.0027  1.301→    0.0%  -0.559  2.60e-04  27.7%/32.4%/22.5%/17.4%
    18,432    36    -0.00193  -0.0006  0.0025  1.287→    0.0%  +0.453  2.57e-04  31.4%/26.2%/22.7%/19.7%
    18,944    37    -0.00198  -0.0023  0.0019  1.291↓    0.0%  -0.391  2.55e-04  27.3%/30.7%/22.9%/19.1%
    19,456    38    -0.00203  -0.0014  0.0025  1.295↓    0.0%  +0.135  2.53e-04  30.5%/28.1%/21.7%/19.7%
    19,968    39    -0.00200  -0.0007  0.0020  1.275↓    0.0%  -0.635  2.50e-04  32.2%/27.1%/21.3%/19.3%
    20,480    40    -0.00203  +0.0000  0.0019  1.293↓    0.0%  +0.051  2.48e-04  25.4%/28.7%/27.7%/18.2%
    20,992    41    -0.00203  -0.0003  0.0015  1.292↓    0.0%  -0.343  2.45e-04  27.7%/25.6%/26.8%/19.9%
    21,504    42    -0.00199  -0.0002  0.0021  1.304↓    0.0%  -2.399  2.43e-04  30.7%/28.3%/23.8%/17.2%
    22,016    43    -0.00188  +0.0001  0.0016  1.293↓    0.0%  -0.490  2.40e-04  31.8%/24.8%/24.8%/18.6%
    22,528    44    -0.00176  -0.0011  0.0017  1.300↓    0.0%  -0.161  2.38e-04  29.7%/32.0%/19.5%/18.8%
    23,040    45    -0.00169  -0.0016  0.0014  1.282↓    0.0%  -2.064  2.35e-04  30.7%/25.0%/25.2%/19.1%
    23,552    46    -0.00155  -0.0003  0.0015  1.301↓    0.0%  +0.007  2.33e-04  28.7%/26.8%/27.9%/16.6%
    24,064    47    -0.00145  -0.0016  0.0010  1.285↓    0.0%  -1.962  2.30e-04  30.9%/27.1%/23.2%/18.8%
    24,576    48    -0.00138  -0.0017  0.0014  1.279↓    0.0%  +0.188  2.27e-04  31.1%/30.1%/19.7%/19.1%
    25,088    49    -0.00137  -0.0001  0.0013  1.289↓    0.0%  -0.129  2.24e-04  28.9%/28.3%/23.8%/18.9%
    25,600    50    -0.00136  -0.0014  0.0014  1.287↓    0.0%  -2.152  2.22e-04  28.1%/25.4%/25.2%/21.3%
    26,112    51    -0.00137  +0.0010  0.0018  1.300↓    0.0%  +0.135  2.19e-04  29.5%/28.5%/24.4%/17.6%
    26,624    52    -0.00162  +0.0004  0.0138  1.295↓    0.0%  -0.141  2.16e-04  29.9%/31.1%/21.1%/18.0%
    27,136    53    -0.00173  -0.0000  0.0027  1.308↓    0.0%  +0.707  2.13e-04  28.1%/27.1%/27.5%/17.2%
    27,648    54    -0.00182  -0.0006  0.0034  1.287↓    0.0%  -0.030  2.10e-04  28.3%/27.1%/24.6%/19.9%
    28,160    55    -0.00181  -0.0002  0.0023  1.291↓    0.0%  +0.278  2.07e-04  29.7%/27.1%/24.4%/18.8%
    28,672    56    -0.00184  -0.0001  0.0017  1.288↓    0.0%  +0.061  2.04e-04  29.1%/25.4%/25.2%/20.3%
    29,184    57    -0.00185  -0.0007  0.0015  1.286↓    0.0%  +0.062  2.01e-04  29.1%/31.1%/20.7%/19.1%
    29,696    58    -0.00183  -0.0003  0.0010  1.277↓    0.0%  -0.783  1.98e-04  29.5%/24.6%/24.6%/21.3%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_LTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00181  -0.0001  0.0012  1.281↓    0.0%  -0.461  1.95e-04  26.2%/32.2%/20.9%/20.7%
    30,720    60    -0.00181  -0.0003  0.0012  1.286↓    0.0%  -0.188  1.92e-04  26.6%/27.5%/25.2%/20.7%
    31,232    61    -0.00181  -0.0001  0.0012  1.289↓    0.0%  -0.798  1.89e-04  32.2%/28.3%/20.7%/18.8%
    31,744    62    -0.00153  -0.0001  0.0010  1.297↓    0.0%  -0.720  1.86e-04  31.6%/27.3%/23.6%/17.4%
    32,256    63    -0.00148  -0.0004  0.0012  1.282↓    0.0%  -0.334  1.82e-04  32.8%/28.3%/20.1%/18.8%
    32,768    64    -0.00147  +0.0009  0.0013  1.287↓    0.0%  -0.777  1.79e-04  28.5%/29.7%/22.3%/19.5%
    33,280    65    -0.00150  -0.0001  0.0013  1.284↓    0.0%  -0.812  1.76e-04  31.2%/27.9%/22.7%/18.2%
    33,792    66    -0.00152  -0.0005  0.0009  1.288↓    0.0%  -0.983  1.73e-04  27.3%/31.6%/21.1%/19.9%
    34,304    67    -0.00154  +0.0001  0.0010  1.281↓    0.0%  -3.584  1.70e-04  28.1%/27.7%/22.3%/21.9%
    34,816    68    -0.00158  -0.0005  0.0009  1.286↓    0.0%  -3.332  1.67e-04  29.3%/29.9%/22.3%/18.6%
    35,328    69    -0.00162  -0.0001  0.0013  1.287↓    0.0%  -0.632  1.63e-04  33.2%/26.6%/22.7%/17.6%
    35,840    70    -0.00161  -0.0003  0.0011  1.281↓    0.0%  -1.795  1.60e-04  28.1%/29.5%/22.1%/20.3%
    36,352    71    -0.00165  -0.0001  0.0014  1.296↓    0.0%  +0.135  1.57e-04  31.1%/35.7%/17.0%/16.2%
    36,864    72    -0.00165  +0.0003  0.0010  1.278↓    0.0%  -0.373  1.54e-04  27.3%/31.8%/20.5%/20.3%
    37,376    73    -0.00160  -0.0008  0.0011  1.260↓    0.0%  +0.552  1.50e-04  32.8%/28.5%/19.1%/19.5%
    37,888    74    -0.00153  +0.0001  0.0012  1.272↓    0.0%  -0.451  1.47e-04  31.4%/29.1%/19.5%/19.9%
    38,400    75    -0.00152  +0.0007  0.0013  1.275↓    0.0%  -0.238  1.44e-04  33.6%/28.7%/19.9%/17.8%
    38,912    76    -0.00152  -0.0016  0.0012  1.279↓    0.0%  -0.310  1.41e-04  30.9%/28.3%/21.5%/19.3%
    39,424    77    -0.00152  -0.0005  0.0011  1.274↓    0.0%  -0.228  1.38e-04  29.5%/30.1%/19.7%/20.7%
    39,936    78    -0.00151  +0.0005  0.0009  1.275↓    0.0%  -0.525  1.34e-04  28.9%/29.5%/21.5%/20.1%
    40,448    79    -0.00150  -0.0001  0.0041  1.279↓    0.0%  -0.135  1.31e-04  29.1%/27.7%/22.5%/20.7%
    40,960    80    -0.00138  -0.0003  0.0011  1.281↓    0.0%  -1.584  1.28e-04  31.8%/26.4%/23.0%/18.8%
    41,472    81    -0.00123  -0.0015  0.0013  1.269↓    0.0%  -0.935  1.25e-04  32.8%/28.9%/18.6%/19.7%
    41,984    82    -0.00116  -0.0012  0.0009  1.248↓    0.0%  -1.454  1.22e-04  37.7%/24.8%/19.1%/18.4%
    42,496    83    -0.00109  -0.0005  0.0008  1.245↓    0.0%  +0.262  1.19e-04  32.2%/28.5%/17.4%/21.9%
    43,008    84    -0.00100  +0.0003  0.0010  1.260↓    0.0%  +0.112  1.15e-04  31.1%/33.2%/16.0%/19.7%
    43,520    85    -0.00092  +0.0010  0.0012  1.262↓    0.0%  +0.020  1.12e-04  32.4%/30.1%/17.0%/20.5%
    44,032    86    -0.00081  -0.0006  0.0009  1.245↓    0.0%  -0.157  1.09e-04  36.3%/28.3%/14.8%/20.5%
    44,544    87    -0.00076  -0.0014  0.0012  1.267↓    0.0%  -0.108  1.06e-04  31.4%/28.3%/21.7%/18.6%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_LTC\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00069  -0.0003  0.0009  1.270↓    0.0%  -1.988  1.03e-04  30.5%/28.5%/19.9%/21.1%
    45,568    89    -0.00056  +0.0001  0.0008  1.256↓    0.0%  -0.911  1.00e-04  34.6%/27.5%/17.8%/20.1%
    46,080    90    -0.00055  +0.0000  0.0011  1.257↓    0.0%  +0.140  9.70e-05  33.8%/28.7%/16.8%/20.7%
    46,592    91    -0.00051  -0.0009  0.0009  1.266↓    0.0%  -2.351  9.40e-05  36.1%/25.2%/19.7%/18.9%
    47,104    92    -0.00051  -0.0011  0.0009  1.270↓    0.0%  -0.551  9.11e-05  30.7%/28.7%/20.7%/19.9%
    47,616    93    -0.00049  +0.0003  0.0008  1.261↓    0.0%  -0.674  8.81e-05  28.9%/27.9%/21.9%/21.3%
    48,128    94    -0.00048  -0.0007  0.0008  1.269↓    0.0%  -0.821  8.52e-05  29.3%/28.1%/21.7%/20.9%
    48,640    95    -0.00043  -0.0015  0.0009  1.263↓    0.0%  -1.388  8.23e-05  30.9%/28.9%/19.7%/20.5%
    49,152    96    -0.00048  -0.0008  0.0016  1.274↓    0.0%  -0.142  7.95e-05  29.3%/30.9%/19.1%/20.7%
    49,664    97    -0.00050  +0.0002  0.0012  1.285↓    0.0%  -0.688  7.67e-05  31.1%/27.3%/22.7%/18.9%
    50,176    98    -0.00048  -0.0016  0.0008  1.263↓    0.0%  -1.487  7.39e-05  32.2%/29.9%/16.8%/21.1%
    50,688    99    -0.00046  -0.0009  0.0009  1.284↓    0.0%  -2.899  7.12e-05  27.1%/28.1%/24.6%/20.1%
    51,200   100    -0.00046  +0.0007  0.0010  1.277↓    0.0%  -1.726  6.84e-05  30.7%/28.9%/20.5%/19.9%
    51,712   101    -0.00049  +0.0003  0.0007  1.271↓    0.0%  -0.237  6.58e-05  29.5%/25.8%/23.8%/20.9%
    52,224   102    -0.00048  +0.0012  0.0007  1.285↓    0.0%  -0.412  6.31e-05  27.1%/33.4%/19.3%/20.1%
