Žurnāls: ppo_trader_Clean Baseline_SOL.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 563,641 sveces  |  2020-08-15 11:00:00 → 2025-12-25 13:20:00
Izmantojam     : 241,561 sveces  |  2023-09-08 19:20:00 → 2025-12-25 13:20:00
Apmācība (~2g) : 0..161,040  (2023-09-08 19:20:00 → 2025-03-20 23:15:00)
Tests  (~1g)   : 161,040..241,561  (2025-03-20 23:20:00 → 2025-12-25 13:20:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_SOL/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00353  -0.0013  0.0369  1.299?    0.0%  -0.138  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00314  -0.0003  0.0266  1.305?    0.0%  -0.654  3.00e-04  30.7%/25.0%/26.4%/18.0%
     1,536     3    -0.00332  -0.0005  0.0174  1.289?    0.0%  -1.233  3.00e-04  30.7%/24.2%/25.8%/19.3%
     2,048     4    -0.00373  +0.0000  0.0192  1.301?    0.0%  -0.461  2.99e-04  30.5%/29.9%/21.7%/18.0%
     2,560     5    -0.00387  -0.0007  0.0140  1.291?    0.0%  +0.353  2.99e-04  30.9%/24.2%/26.4%/18.6%
     3,072     6    -0.00409  -0.0002  0.0161  1.305→    0.0%  +0.534  2.99e-04  24.0%/26.4%/29.7%/19.9%
     3,584     7    -0.00439  -0.0001  0.0126  1.298→    0.0%  -0.238  2.98e-04  27.5%/27.0%/25.8%/19.7%
     4,096     8    -0.00452  -0.0004  0.0144  1.306→    0.0%  +0.719  2.98e-04  29.3%/23.4%/27.9%/19.3%
     4,608     9    -0.00466  -0.0004  0.0120  1.306→    0.0%  -0.593  2.97e-04  28.9%/26.6%/25.6%/18.9%
     5,120    10    -0.00462  -0.0004  0.0101  1.301→    0.0%  +0.060  2.97e-04  27.0%/27.5%/25.8%/19.7%
     5,632    11    -0.00461  +0.0001  0.0081  1.311→    0.0%  +0.073  2.96e-04  25.6%/27.9%/27.0%/19.5%
     6,144    12    -0.00463  -0.0001  0.0074  1.315↑    0.0%  +0.158  2.95e-04  29.7%/29.7%/24.6%/16.0%
     6,656    13    -0.00456  +0.0000  0.0070  1.315↑    0.0%  -0.221  2.94e-04  25.0%/27.7%/28.7%/18.6%
     7,168    14    -0.00438  -0.0009  0.0062  1.304↑    0.0%  +0.241  2.93e-04  27.0%/24.6%/28.9%/19.5%
     7,680    15    -0.00435  +0.0000  0.0058  1.295↑    0.0%  -0.027  2.92e-04  27.3%/25.0%/28.3%/19.3%
     8,192    16    -0.00406  -0.0002  0.0053  1.287→    0.0%  +0.316  2.91e-04  31.8%/24.4%/24.6%/19.1%
     8,704    17    -0.00370  -0.0010  0.0046  1.298→    0.0%  -0.245  2.90e-04  28.3%/25.8%/26.0%/19.9%
     9,216    18    -0.00342  -0.0010  0.0036  1.300→    0.0%  +0.108  2.89e-04  31.6%/28.3%/22.3%/17.8%
     9,728    19    -0.00306  -0.0005  0.0044  1.308→    0.0%  -0.005  2.88e-04  26.4%/24.6%/31.4%/17.6%
    10,240    20    -0.00291  -0.0018  0.0050  1.302→    0.0%  -0.096  2.86e-04  27.1%/25.8%/29.3%/17.8%
    10,752    21    -0.00280  -0.0005  0.0043  1.290→    0.0%  +0.047  2.85e-04  27.5%/24.8%/27.5%/20.1%
    11,264    22    -0.00299  +0.0002  0.0049  1.291→    0.0%  +0.263  2.84e-04  26.0%/28.1%/24.2%/21.7%
    11,776    23    -0.00303  -0.0010  0.0037  1.287→    0.0%  +0.661  2.82e-04  32.4%/23.2%/25.4%/18.9%
