Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_BTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 771,726 sveces  |  2019-01-05 05:00:00 → 2026-05-10 16:05:00
Izmantojam     : 330,740 sveces  |  2023-03-19 05:05:00 → 2026-05-10 16:05:00
Apmācība (~2g) : 0..220,493  (2023-03-19 05:05:00 → 2025-04-22 20:50:00)
Tests  (~1g)   : 220,493..330,740  (2025-04-22 20:55:00 → 2026-05-10 16:05:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_BTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00115  -0.0009  0.0356  1.300?    0.0%  -0.898  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.00098  -0.0007  0.0230  1.307?    0.0%  -0.104  3.00e-04  30.1%/25.8%/26.2%/18.0%
     1,536     3    -0.00095  -0.0001  0.0172  1.291?    0.0%  +0.213  3.00e-04  29.7%/26.2%/25.0%/19.1%
     2,048     4    -0.00090  -0.0003  0.0119  1.302?    0.0%  -0.064  2.99e-04  29.7%/30.3%/21.9%/18.2%
     2,560     5    -0.00092  -0.0001  0.0116  1.296?    0.0%  -0.520  2.99e-04  29.3%/27.3%/25.0%/18.4%
     3,072     6    -0.00096  -0.0004  0.0105  1.307→    0.0%  +0.092  2.99e-04  23.0%/27.0%/30.7%/19.3%
     3,584     7    -0.00097  -0.0002  0.0098  1.296→    0.0%  -0.108  2.98e-04  27.7%/27.0%/25.4%/19.9%
     4,096     8    -0.00096  -0.0003  0.0072  1.310→    0.0%  -0.158  2.98e-04  29.1%/23.8%/28.5%/18.6%
     4,608     9    -0.00096  -0.0005  0.0072  1.307↑    0.0%  +0.564  2.97e-04  27.7%/27.9%/25.0%/19.3%
     5,120    10    -0.00096  -0.0008  0.0069  1.308→    0.0%  -0.417  2.97e-04  27.7%/29.1%/25.6%/17.6%
     5,632    11    -0.00096  -0.0002  0.0081  1.306→    0.0%  +0.212  2.96e-04  24.6%/29.3%/26.0%/20.1%
     6,144    12    -0.00097  -0.0003  0.0050  1.315↑    0.0%  -0.545  2.95e-04  30.1%/30.1%/24.4%/15.4%
     6,656    13    -0.00098  -0.0005  0.0040  1.314↑    0.0%  -1.417  2.94e-04  24.0%/29.3%/27.7%/18.9%
     7,168    14    -0.00100  -0.0000  0.0044  1.312↑    0.0%  -0.486  2.93e-04  25.0%/26.6%/29.7%/18.8%
     7,680    15    -0.00100  -0.0003  0.0035  1.300↑    0.0%  -1.208  2.92e-04  27.0%/25.8%/28.1%/19.1%
     8,192    16    -0.00097  +0.0007  0.0035  1.295↑    0.0%  -0.420  2.91e-04  28.1%/27.9%/24.6%/19.3%
     8,704    17    -0.00097  -0.0005  0.0028  1.305→    0.0%  +0.053  2.90e-04  27.3%/27.3%/25.6%/19.7%
     9,216    18    -0.00100  -0.0006  0.0036  1.305→    0.0%  -0.218  2.89e-04  28.7%/29.5%/23.2%/18.6%
     9,728    19    -0.00106  -0.0005  0.0039  1.316→    0.0%  -0.296  2.88e-04  22.7%/28.1%/31.4%/17.8%
    10,240    20    -0.00107  +0.0002  0.0023  1.306↑    0.0%  -0.440  2.86e-04  24.8%/27.9%/29.1%/18.2%
    10,752    21    -0.00107  -0.0003  0.0029  1.308↑    0.0%  -2.077  2.85e-04  24.8%/28.3%/28.3%/18.6%
    11,264    22    -0.00113  -0.0001  0.0024  1.298↑    0.0%  -0.123  2.84e-04  24.0%/29.9%/25.2%/20.9%
    11,776    23    -0.00113  -0.0001  0.0027  1.299↑    0.0%  -0.591  2.82e-04  28.1%/26.6%/26.2%/19.1%
    12,288    24    -0.00118  +0.0003  0.0025  1.315↑    0.0%  -1.200  2.81e-04  28.1%/28.9%/25.4%/17.6%
