Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00141  -0.0004  0.0436  1.300?    0.0%  -0.865  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.00138  -0.0003  0.0211  1.305?    0.0%  -0.395  3.00e-04  30.7%/24.8%/26.6%/18.0%
     1,536     3    -0.00131  -0.0005  0.0149  1.291?    0.0%  -0.137  3.00e-04  30.5%/25.0%/25.4%/19.1%
     2,048     4    -0.00132  -0.0007  0.0139  1.304?    0.0%  +0.540  2.99e-04  30.1%/29.3%/22.9%/17.8%
     2,560     5    -0.00136  -0.0008  0.0131  1.294?    0.0%  +0.205  2.99e-04  31.1%/24.8%/26.2%/18.0%
     3,072     6    -0.00137  -0.0005  0.0103  1.309→    0.0%  +0.171  2.99e-04  23.8%/26.0%/31.2%/18.9%
     3,584     7    -0.00136  -0.0000  0.0089  1.299→    0.0%  +0.385  2.98e-04  28.5%/26.2%/26.2%/19.1%
     4,096     8    -0.00137  +0.0000  0.0090  1.310→    0.0%  -0.049  2.98e-04  29.7%/22.7%/29.7%/18.0%
     4,608     9    -0.00138  -0.0007  0.0061  1.306↑    0.0%  +0.377  2.97e-04  29.1%/27.1%/24.8%/18.9%
     5,120    10    -0.00146  -0.0004  0.0065  1.304→    0.0%  +0.455  2.97e-04  29.5%/27.1%/26.4%/17.0%
     5,632    11    -0.00154  -0.0005  0.0058  1.312→    0.0%  +0.532  2.96e-04  26.0%/28.3%/26.8%/18.9%
     6,144    12    -0.00156  -0.0011  0.0057  1.311↑    0.0%  -0.104  2.95e-04  31.6%/29.1%/24.2%/15.0%
