Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00126  -0.0005  0.0373  1.299?    0.0%  -1.263  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00111  +0.0000  0.0255  1.305?    0.0%  -0.519  3.00e-04  30.9%/25.4%/26.0%/17.8%
     1,536     3    -0.00117  +0.0001  0.0186  1.290?    0.0%  -0.801  3.00e-04  29.7%/25.2%/25.8%/19.3%
     2,048     4    -0.00118  -0.0001  0.0151  1.302?    0.0%  -1.895  2.99e-04  30.3%/29.3%/22.7%/17.8%
     2,560     5    -0.00115  -0.0008  0.0089  1.297?    0.0%  -0.337  2.99e-04  29.9%/25.8%/26.0%/18.4%
     3,072     6    -0.00116  -0.0005  0.0090  1.308→    0.0%  -0.957  2.99e-04  23.2%/26.2%/31.6%/18.9%
     3,584     7    -0.00116  -0.0001  0.0072  1.299→    0.0%  -0.150  2.98e-04  28.3%/26.2%/26.2%/19.3%
     4,096     8    -0.00117  -0.0005  0.0073  1.308→    0.0%  -0.266  2.98e-04  28.9%/22.9%/29.3%/18.9%
     4,608     9    -0.00116  -0.0005  0.0060  1.306↑    0.0%  -0.399  2.97e-04  29.1%/28.5%/24.0%/18.4%
     5,120    10    -0.00115  -0.0003  0.0055  1.302→    0.0%  -0.508  2.97e-04  27.3%/28.9%/25.0%/18.8%
     5,632    11    -0.00110  -0.0004  0.0042  1.312→    0.0%  -0.234  2.96e-04  26.4%/29.9%/25.8%/18.0%
     6,144    12    -0.00111  -0.0009  0.0044  1.316↑    0.0%  -1.633  2.95e-04  29.1%/30.7%/24.6%/15.6%
     6,656    13    -0.00108  +0.0000  0.0042  1.318↑    0.0%  -2.340  2.94e-04  25.0%/29.7%/27.9%/17.4%
     7,168    14    -0.00106  -0.0007  0.0034  1.312↑    0.0%  -3.439  2.93e-04  24.4%/27.7%/29.5%/18.4%
     7,680    15    -0.00111  -0.0006  0.0043  1.310↑    0.0%  -1.073  2.92e-04  28.7%/24.8%/29.3%/17.2%
     8,192    16    -0.00114  -0.0009  0.0041  1.293↑    0.0%  -0.449  2.91e-04  29.9%/26.4%/24.8%/18.9%
     8,704    17    -0.00115  +0.0000  0.0037  1.305↑    0.0%  -1.876  2.90e-04  29.1%/26.8%/25.8%/18.4%
     9,216    18    -0.00113  -0.0004  0.0027  1.300↑    0.0%  -0.469  2.89e-04  33.0%/28.3%/21.7%/17.0%
     9,728    19    -0.00115  -0.0000  0.0029  1.310→    0.0%  -3.676  2.88e-04  25.4%/26.4%/30.9%/17.4%
    10,240    20    -0.00117  -0.0009  0.0029  1.306→    0.0%  -1.552  2.86e-04  27.5%/26.4%/28.9%/17.2%
    10,752    21    -0.00118  -0.0006  0.0027  1.305↑    0.0%  -0.795  2.85e-04  27.0%/27.0%/28.1%/18.0%
    11,264    22    -0.00121  +0.0001  0.0026  1.305↑    0.0%  -0.937  2.84e-04  26.4%/27.3%/27.3%/18.9%
    11,776    23    -0.00122  -0.0003  0.0020  1.303↑    0.0%  +0.227  2.82e-04  30.1%/27.1%/25.2%/17.6%
    12,288    24    -0.00124  -0.0001  0.0029  1.314↑    0.0%  -1.754  2.81e-04  29.1%/27.1%/26.6%/17.2%
    12,800    25    -0.00123  -0.0006  0.0025  1.298→    0.0%  -0.203  2.79e-04  30.3%/28.7%/22.5%/18.6%
    13,312    26    -0.00124  +0.0000  0.0032  1.322↑    0.0%  -0.362  2.77e-04  24.8%/28.9%/30.5%/15.8%
    13,824    27    -0.00122  +0.0002  0.0021  1.304↑    0.0%  -0.045  2.75e-04  32.2%/27.7%/24.2%/15.8%
    14,336    28    -0.00123  -0.0007  0.0023  1.303↑    0.0%  +0.017  2.74e-04  28.9%/24.0%/28.9%/18.2%
    14,848    29    -0.00120  -0.0006  0.0019  1.308↑    0.0%  -0.047  2.72e-04  27.1%/28.1%/27.0%/17.8%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_ETH\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00122  -0.0002  0.0019  1.304↑    0.0%  -2.568  2.70e-04  26.4%/25.6%/28.3%/19.7%
    15,872    31    -0.00125  -0.0009  0.0017  1.306↑    0.0%  -0.805  2.68e-04  30.9%/24.2%/29.1%/15.8%
    16,384    32    -0.00128  -0.0005  0.0023  1.283→    0.0%  -1.778  2.66e-04  31.6%/22.1%/25.2%/21.1%
    16,896    33    -0.00129  -0.0012  0.0020  1.306→    0.0%  -1.831  2.64e-04  32.0%/27.9%/23.2%/16.8%
    17,408    34    -0.00132  +0.0001  0.0020  1.306→    0.0%  -0.172  2.62e-04  28.9%/30.1%/23.8%/17.2%
    17,920    35    -0.00132  +0.0000  0.0029  1.305→    0.0%  -0.145  2.60e-04  27.7%/27.5%/26.6%/18.2%
    18,432    36    -0.00133  -0.0008  0.0027  1.299→    0.0%  +0.021  2.57e-04  30.5%/25.2%/26.4%/18.0%
    18,944    37    -0.00137  -0.0022  0.0023  1.299→    0.0%  +0.441  2.55e-04  27.5%/26.8%/27.0%/18.8%
    19,456    38    -0.00140  -0.0004  0.0017  1.308→    0.0%  -0.473  2.53e-04  31.6%/28.3%/23.0%/17.0%
    19,968    39    -0.00142  +0.0006  0.0021  1.293→    0.0%  +0.020  2.50e-04  31.6%/22.9%/27.1%/18.4%
    20,480    40    -0.00140  -0.0010  0.0018  1.304→    0.0%  -1.639  2.48e-04  26.4%/27.9%/27.9%/17.8%
    20,992    41    -0.00140  -0.0009  0.0017  1.302→    0.0%  -0.293  2.45e-04  27.3%/24.6%/28.5%/19.5%
    21,504    42    -0.00137  -0.0007  0.0018  1.315→    0.0%  -0.318  2.43e-04  29.5%/27.7%/26.4%/16.4%
    22,016    43    -0.00135  -0.0003  0.0014  1.297→    0.0%  +0.209  2.40e-04  33.0%/23.2%/26.2%/17.6%
    22,528    44    -0.00130  -0.0007  0.0016  1.301→    0.0%  +0.125  2.38e-04  31.6%/27.1%/22.9%/18.4%
    23,040    45    -0.00126  -0.0008  0.0014  1.291→    0.0%  -1.169  2.35e-04  30.9%/24.6%/27.0%/17.6%
    23,552    46    -0.00119  -0.0025  0.0014  1.303→    0.0%  -0.012  2.33e-04  30.3%/21.9%/31.6%/16.2%
    24,064    47    -0.00114  -0.0005  0.0012  1.292→    0.0%  -3.893  2.30e-04  32.6%/23.0%/27.9%/16.4%
    24,576    48    -0.00112  -0.0009  0.0013  1.291→    0.0%  -2.327  2.27e-04  31.1%/25.4%/25.6%/18.0%
    25,088    49    -0.00110  +0.0004  0.0012  1.294→    0.0%  -0.514  2.24e-04  31.6%/25.0%/26.8%/16.6%
    25,600    50    -0.00112  -0.0013  0.0013  1.284↓    0.0%  -2.326  2.22e-04  30.9%/20.9%/29.5%/18.8%
    26,112    51    -0.00114  +0.0005  0.0016  1.285↓    0.0%  -0.768  2.19e-04  34.0%/21.1%/28.7%/16.2%
    26,624    52    -0.00119  -0.0001  0.0013  1.276↓    0.0%  +0.185  2.16e-04  36.9%/24.4%/23.2%/15.4%
    27,136    53    -0.00133  -0.0014  0.0025  1.305↓    0.0%  -0.061  2.13e-04  30.5%/26.2%/27.9%/15.4%
    27,648    54    -0.00139  -0.0001  0.0014  1.276↓    0.0%  -1.176  2.10e-04  34.0%/21.5%/27.1%/17.4%
    28,160    55    -0.00139  +0.0004  0.0013  1.284↓    0.0%  -0.467  2.07e-04  30.5%/24.2%/26.8%/18.6%
    28,672    56    -0.00140  -0.0010  0.0012  1.280↓    0.0%  -0.088  2.04e-04  31.6%/21.3%/28.3%/18.8%
    29,184    57    -0.00141  -0.0007  0.0008  1.277↓    0.0%  -0.172  2.01e-04  30.7%/25.6%/25.0%/18.8%
    29,696    58    -0.00141  -0.0007  0.0010  1.285↓    0.0%  -2.232  1.98e-04  30.7%/21.3%/29.7%/18.4%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_ETH\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00147  -0.0011  0.0011  1.276↓    0.0%  +0.008  1.95e-04  29.1%/26.6%/24.4%/19.9%
