Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_SOL.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 563,641 sveces  |  2020-08-15 11:00:00 → 2025-12-25 13:20:00
Izmantojam     : 241,561 sveces  |  2023-09-08 19:20:00 → 2025-12-25 13:20:00
Apmācība (~2g) : 0..161,040  (2023-09-08 19:20:00 → 2025-03-20 23:15:00)
Tests  (~1g)   : 161,040..241,561  (2025-03-20 23:20:00 → 2025-12-25 13:20:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_SOL/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00359  -0.0013  0.0370  1.299?    0.0%  -0.138  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00320  -0.0003  0.0266  1.305?    0.0%  -0.652  3.00e-04  30.7%/25.0%/26.4%/18.0%
     1,536     3    -0.00338  -0.0005  0.0175  1.289?    0.0%  -1.229  3.00e-04  30.7%/24.2%/25.8%/19.3%
     2,048     4    -0.00379  +0.0000  0.0193  1.301?    0.0%  -0.454  2.99e-04  30.5%/29.9%/21.7%/18.0%
     2,560     5    -0.00392  -0.0007  0.0140  1.291?    0.0%  +0.355  2.99e-04  30.9%/24.2%/26.4%/18.6%
     3,072     6    -0.00415  -0.0002  0.0162  1.305→    0.0%  +0.535  2.99e-04  24.0%/26.4%/29.7%/19.9%
     3,584     7    -0.00445  -0.0001  0.0127  1.298→    0.0%  -0.238  2.98e-04  27.5%/27.0%/25.8%/19.7%
     4,096     8    -0.00457  -0.0004  0.0145  1.306→    0.0%  +0.720  2.98e-04  29.3%/23.4%/27.9%/19.3%
     4,608     9    -0.00472  -0.0004  0.0120  1.306→    0.0%  -0.593  2.97e-04  28.9%/26.6%/25.6%/18.9%
     5,120    10    -0.00467  -0.0004  0.0101  1.301→    0.0%  +0.060  2.97e-04  27.0%/27.5%/25.8%/19.7%
     5,632    11    -0.00466  +0.0001  0.0081  1.311→    0.0%  +0.072  2.96e-04  25.6%/27.9%/27.0%/19.5%
     6,144    12    -0.00469  -0.0001  0.0074  1.315↑    0.0%  +0.158  2.95e-04  29.7%/29.7%/24.6%/16.0%
     6,656    13    -0.00462  +0.0000  0.0070  1.315↑    0.0%  -0.225  2.94e-04  25.2%/27.5%/28.7%/18.6%
     7,168    14    -0.00443  -0.0009  0.0063  1.304↑    0.0%  +0.245  2.93e-04  27.0%/24.6%/28.9%/19.5%
     7,680    15    -0.00440  -0.0000  0.0059  1.295↑    0.0%  -0.032  2.92e-04  27.1%/25.2%/28.3%/19.3%
     8,192    16    -0.00411  -0.0002  0.0053  1.287→    0.0%  +0.318  2.91e-04  31.6%/24.6%/24.6%/19.1%
     8,704    17    -0.00376  -0.0009  0.0046  1.299→    0.0%  -0.226  2.90e-04  27.9%/26.0%/26.0%/20.1%
     9,216    18    -0.00348  -0.0010  0.0036  1.300→    0.0%  +0.099  2.89e-04  31.6%/28.3%/22.3%/17.8%
     9,728    19    -0.00312  -0.0005  0.0044  1.308→    0.0%  +0.017  2.88e-04  26.4%/24.8%/31.2%/17.6%
    10,240    20    -0.00296  -0.0019  0.0050  1.302→    0.0%  -0.116  2.86e-04  27.1%/25.8%/29.3%/17.8%
    10,752    21    -0.00286  -0.0005  0.0043  1.291→    0.0%  +0.039  2.85e-04  27.5%/25.0%/27.5%/19.9%
    11,264    22    -0.00305  +0.0002  0.0049  1.291→    0.0%  +0.290  2.84e-04  26.0%/28.1%/24.2%/21.7%
    11,776    23    -0.00309  -0.0010  0.0037  1.288→    0.0%  +0.673  2.82e-04  32.4%/23.2%/25.4%/18.9%
    12,288    24    -0.00323  -0.0002  0.0043  1.305→    0.0%  +0.535  2.81e-04  28.9%/26.8%/25.2%/19.1%
    12,800    25    -0.00314  -0.0007  0.0031  1.292→    0.0%  +0.617  2.79e-04  29.7%/27.1%/23.6%/19.5%
    13,312    26    -0.00338  -0.0009  0.0046  1.310→    0.0%  +0.598  2.77e-04  26.6%/27.5%/28.5%/17.4%
    13,824    27    -0.00338  -0.0000  0.0035  1.301→    0.0%  +0.647  2.75e-04  32.4%/24.8%/25.8%/17.0%
    14,336    28    -0.00325  +0.0002  0.0029  1.293→    0.0%  +0.089  2.74e-04  31.6%/22.5%/27.1%/18.8%
    14,848    29    -0.00340  -0.0012  0.0058  1.300→    0.0%  +0.325  2.72e-04  27.0%/27.0%/26.6%/19.5%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_SOL\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00338  -0.0003  0.0040  1.296→    0.0%  +0.749  2.70e-04  28.3%/23.6%/28.9%/19.1%
    15,872    31    -0.00337  -0.0011  0.0063  1.289→    0.0%  +0.449  2.68e-04  31.1%/23.0%/27.0%/18.9%
    16,384    32    -0.00310  +0.0002  0.0041  1.269↓    0.0%  +0.677  2.66e-04  34.4%/19.7%/24.4%/21.5%
    16,896    33    -0.00287  +0.0002  0.0033  1.285↓    0.0%  +0.502  2.64e-04  31.8%/26.8%/22.5%/18.9%
    17,408    34    -0.00283  -0.0009  0.0070  1.299↓    0.0%  +0.606  2.62e-04  29.5%/27.7%/25.0%/17.8%
    17,920    35    -0.00287  -0.0009  0.0036  1.287↓    0.0%  +0.805  2.60e-04  28.7%/26.4%/25.0%/19.9%
    18,432    36    -0.00274  -0.0010  0.0028  1.281↓    0.0%  +0.571  2.57e-04  30.7%/22.1%/26.6%/20.7%
    18,944    37    -0.00265  -0.0006  0.0027  1.279↓    0.0%  +0.704  2.55e-04  29.5%/25.0%/24.6%/20.9%
    19,456    38    -0.00295  +0.0005  0.0051  1.284↓    0.0%  +0.521  2.53e-04  30.1%/26.6%/22.3%/21.1%
    19,968    39    -0.00279  -0.0013  0.0030  1.271↓    0.0%  +0.813  2.50e-04  35.0%/21.1%/25.0%/18.9%
    20,480    40    -0.00280  +0.0003  0.0039  1.279↓    0.0%  +0.547  2.48e-04  27.0%/25.2%/26.8%/21.1%
    20,992    41    -0.00279  -0.0005  0.0029  1.274↓    0.0%  +0.601  2.45e-04  30.9%/20.1%/27.3%/21.7%
    21,504    42    -0.00273  -0.0006  0.0035  1.282↓    0.0%  +0.451  2.43e-04  30.3%/24.4%/24.8%/20.5%
    22,016    43    -0.00272  -0.0002  0.0033  1.279↓    0.0%  +0.097  2.40e-04  32.2%/21.3%/26.6%/19.9%
    22,528    44    -0.00243  -0.0008  0.0028  1.270↓    0.0%  +0.496  2.38e-04  31.8%/24.4%/22.3%/21.5%
    23,040    45    -0.00218  -0.0009  0.0022  1.271↓    0.0%  -0.068  2.35e-04  30.3%/21.7%/27.3%/20.7%
    23,552    46    -0.00197  -0.0004  0.0019  1.276↓    0.0%  +0.631  2.33e-04  29.3%/20.9%/30.7%/19.1%
    24,064    47    -0.00187  -0.0008  0.0019  1.279↓    0.0%  +0.195  2.30e-04  28.3%/24.6%/26.4%/20.7%
    24,576    48    -0.00150  -0.0010  0.0021  1.269↓    0.0%  +0.458  2.27e-04  33.2%/20.7%/27.1%/18.9%
    25,088    49    -0.00133  +0.0002  0.0021  1.274↓    0.0%  +0.407  2.24e-04  27.5%/24.4%/26.6%/21.5%
    25,600    50    -0.00116  -0.0002  0.0019  1.278↓    0.0%  +0.618  2.22e-04  28.5%/19.7%/30.5%/21.3%
    26,112    51    -0.00101  +0.0003  0.0019  1.273↓    0.0%  +0.019  2.19e-04  29.3%/22.9%/27.0%/20.9%
    26,624    52    -0.00092  +0.0002  0.0018  1.286↓    0.0%  +0.336  2.16e-04  31.2%/24.8%/24.8%/19.1%
    27,136    53    -0.00093  -0.0007  0.0022  1.276↓    0.0%  +0.395  2.13e-04  29.1%/23.6%/27.3%/19.9%
    27,648    54    -0.00090  +0.0008  0.0018  1.283↓    0.0%  +0.405  2.10e-04  26.4%/24.6%/27.7%/21.3%
    28,160    55    -0.00086  -0.0019  0.0015  1.261↓    0.0%  +0.084  2.07e-04  28.9%/21.7%/27.0%/22.5%
    28,672    56    -0.00081  -0.0011  0.0014  1.280↓    0.0%  +0.112  2.04e-04  27.0%/24.0%/27.9%/21.1%
    29,184    57    -0.00079  -0.0015  0.0014  1.261↓    0.0%  -0.508  2.01e-04  31.6%/22.9%/24.0%/21.5%
    29,696    58    -0.00079  -0.0010  0.0013  1.271↓    0.0%  +0.407  1.98e-04  25.2%/23.6%/27.5%/23.6%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_SOL\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00083  +0.0000  0.0012  1.265↓    0.0%  +0.332  1.95e-04  26.6%/24.0%/26.0%/23.4%
    30,720    60    -0.00086  -0.0013  0.0014  1.257↓    0.0%  -0.034  1.92e-04  24.8%/23.6%/27.1%/24.4%
    31,232    61    -0.00082  -0.0002  0.0010  1.258↓    0.0%  -0.528  1.89e-04  34.2%/19.5%/25.4%/20.9%
    31,744    62    -0.00085  -0.0013  0.0014  1.256↓    0.0%  -0.658  1.86e-04  33.8%/23.0%/23.0%/20.1%
    32,256    63    -0.00082  +0.0010  0.0015  1.267↓    0.0%  +0.481  1.82e-04  32.4%/23.6%/24.4%/19.5%
    32,768    64    -0.00079  +0.0001  0.0012  1.244↓    0.0%  +0.441  1.79e-04  32.8%/22.3%/23.2%/21.7%
    33,280    65    -0.00078  +0.0003  0.0010  1.251↓    0.0%  +0.148  1.76e-04  34.2%/20.5%/25.2%/20.1%
    33,792    66    -0.00082  +0.0013  0.0018  1.250↓    0.0%  +0.254  1.73e-04  32.0%/22.1%/25.0%/20.9%
    34,304    67    -0.00080  +0.0001  0.0013  1.259↓    0.0%  +0.673  1.70e-04  26.6%/23.6%/25.2%/24.6%
    34,816    68    -0.00082  -0.0002  0.0014  1.252↓    0.0%  +0.381  1.67e-04  31.8%/19.9%/25.6%/22.7%
    35,328    69    -0.00083  -0.0009  0.0011  1.256↓    0.0%  +0.363  1.63e-04  32.6%/21.5%/24.6%/21.3%
    35,840    70    -0.00081  +0.0002  0.0011  1.225↓    0.0%  +0.435  1.60e-04  32.8%/19.3%/24.2%/23.6%
    36,352    71    -0.00086  +0.0007  0.0014  1.241↓    0.0%  +0.294  1.57e-04  32.8%/26.6%/20.5%/20.1%
    36,864    72    -0.00086  -0.0006  0.0011  1.236↓    0.0%  -0.383  1.54e-04  28.1%/23.4%/24.6%/23.8%
    37,376    73    -0.00084  -0.0006  0.0011  1.222↓    0.0%  +0.447  1.50e-04  31.2%/20.1%/25.6%/23.0%
    37,888    74    -0.00089  -0.0006  0.0015  1.229↓    0.0%  -0.189  1.47e-04  30.9%/21.1%/24.2%/23.8%
    38,400    75    -0.00090  -0.0002  0.0010  1.222↓    0.0%  -0.041  1.44e-04  34.2%/14.6%/28.5%/22.7%
    38,912    76    -0.00092  -0.0002  0.0009  1.236↓    0.0%  +0.519  1.41e-04  29.3%/20.5%/26.0%/24.2%
    39,424    77    -0.00093  -0.0003  0.0011  1.237↓    0.0%  -0.802  1.38e-04  31.4%/19.7%/26.2%/22.7%
    39,936    78    -0.00089  +0.0007  0.0010  1.232↓    0.0%  -0.080  1.34e-04  26.6%/22.3%/26.8%/24.4%
    40,448    79    -0.00085  +0.0001  0.0010  1.238↓    0.0%  -0.295  1.31e-04  31.1%/19.1%/26.4%/23.4%
    40,960    80    -0.00082  -0.0011  0.0009  1.239↓    0.0%  -0.729  1.28e-04  31.2%/19.3%/25.2%/24.2%
    41,472    81    -0.00076  -0.0004  0.0007  1.228↓    0.0%  -0.813  1.25e-04  33.2%/19.5%/24.6%/22.7%
    41,984    82    -0.00072  -0.0012  0.0009  1.216↓    0.0%  -0.853  1.22e-04  35.2%/16.6%/25.6%/22.7%
    42,496    83    -0.00071  -0.0004  0.0010  1.221↓    0.0%  -1.188  1.19e-04  30.9%/20.3%/23.2%/25.6%
    43,008    84    -0.00063  -0.0009  0.0007  1.230↓    0.0%  +0.385  1.15e-04  31.2%/23.2%/23.0%/22.5%
    43,520    85    -0.00068  -0.0010  0.0011  1.227↓    0.0%  +0.096  1.12e-04  31.1%/23.6%/21.5%/23.8%
    44,032    86    -0.00063  -0.0009  0.0009  1.218↓    0.0%  -0.405  1.09e-04  33.2%/19.9%/21.9%/25.0%
    44,544    87    -0.00067  +0.0002  0.0017  1.205↓    0.0%  +0.106  1.06e-04  28.3%/19.9%/26.0%/25.8%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_SOL\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00076  -0.0016  0.0010  1.210↓    0.0%  +0.599  1.03e-04  31.4%/20.9%/22.7%/25.0%
    45,568    89    -0.00083  -0.0016  0.0010  1.198↓    0.0%  +0.497  1.00e-04  30.5%/21.7%/22.3%/25.6%
    46,080    90    -0.00084  -0.0004  0.0009  1.184↓    0.0%  -1.663  9.70e-05  32.6%/18.8%/22.7%/26.0%
    46,592    91    -0.00085  -0.0007  0.0007  1.189↓    0.0%  -1.058  9.40e-05  34.0%/17.8%/24.2%/24.0%
    47,104    92    -0.00088  -0.0010  0.0008  1.183↓    0.0%  +0.024  9.11e-05  30.5%/21.3%/23.4%/24.8%
    47,616    93    -0.00089  -0.0006  0.0007  1.198↓    0.0%  -0.241  8.81e-05  30.1%/16.6%/28.1%/25.2%
    48,128    94    -0.00093  -0.0005  0.0015  1.187↓    0.0%  -0.070  8.52e-05  29.3%/19.3%/25.0%/26.4%
    48,640    95    -0.00094  -0.0002  0.0008  1.197↓    0.0%  +0.124  8.23e-05  33.4%/19.3%/24.0%/23.2%
    49,152    96    -0.00094  +0.0009  0.0010  1.187↓    0.0%  +0.472  7.95e-05  29.7%/21.3%/22.1%/27.0%
    49,664    97    -0.00090  +0.0014  0.0007  1.195↓    0.1%  +0.144  7.67e-05  32.4%/18.8%/24.2%/24.6%
    50,176    98    -0.00082  -0.0004  0.0009  1.199↓    0.0%  +0.349  7.39e-05  31.2%/21.3%/21.9%/25.6%
    50,688    99    -0.00081  +0.0007  0.0008  1.204↓    0.0%  +0.237  7.12e-05  28.9%/18.9%/27.0%/25.2%
    51,200   100    -0.00095  +0.0007  0.0042  1.214↓    0.0%  -0.009  6.84e-05  29.5%/20.5%/26.0%/24.0%
    51,712   101    -0.00099  -0.0003  0.0008  1.183↓    0.0%  +0.143  6.58e-05  30.7%/17.8%/24.8%/26.8%
    52,224   102    -0.00099  +0.0008  0.0010  1.210↓    0.0%  +0.605  6.31e-05  27.1%/22.9%/24.8%/25.2%
    52,736   103    -0.00106  +0.0001  0.0013  1.201↓    0.0%  +0.518  6.06e-05  27.5%/23.0%/24.2%/25.2%
    53,248   104    -0.00109  +0.0016  0.0010  1.188↓    0.0%  +0.601  5.80e-05  30.5%/19.5%/24.4%/25.6%
