Žurnāls: ppo_trader_Realistic Mode, OP - 0.0008 (Active)_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0008 (Active)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0008  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0008
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0008 (Active)_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00181  -0.0004  0.0438  1.300?    0.0%  -0.848  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.00176  -0.0003  0.0215  1.305?    0.0%  -0.382  3.00e-04  30.7%/24.8%/26.6%/18.0%
     1,536     3    -0.00168  -0.0005  0.0153  1.291?    0.0%  -0.148  3.00e-04  30.5%/25.0%/25.4%/19.1%
     2,048     4    -0.00169  -0.0008  0.0141  1.304?    0.0%  +0.561  2.99e-04  30.1%/29.3%/22.9%/17.8%
     2,560     5    -0.00173  -0.0009  0.0133  1.297?    0.0%  +0.236  2.99e-04  30.9%/25.4%/26.0%/17.8%
     3,072     6    -0.00174  -0.0005  0.0106  1.309→    0.0%  +0.170  2.99e-04  23.8%/26.2%/31.1%/18.9%
     3,584     7    -0.00174  +0.0000  0.0092  1.300→    0.0%  +0.373  2.98e-04  28.5%/26.2%/26.6%/18.8%
     4,096     8    -0.00175  +0.0000  0.0093  1.310→    0.0%  -0.069  2.98e-04  29.7%/22.7%/29.7%/18.0%
     4,608     9    -0.00176  -0.0008  0.0062  1.306↑    0.0%  +0.359  2.97e-04  29.1%/27.3%/24.8%/18.8%
     5,120    10    -0.00184  -0.0004  0.0067  1.304→    0.0%  +0.428  2.97e-04  29.5%/27.1%/26.4%/17.0%
     5,632    11    -0.00192  -0.0005  0.0060  1.311→    0.0%  +0.528  2.96e-04  26.0%/28.5%/26.6%/18.9%
