Žurnāls: ppo_trader_Realistic Mode, OP - 0.000898 (Main)_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.000898 (Main)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.000898 (Main)_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00172  -0.0005  0.0376  1.299?    0.0%  -1.246  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00154  +0.0000  0.0260  1.305?    0.0%  -0.500  3.00e-04  30.9%/25.4%/26.0%/17.8%
     1,536     3    -0.00160  +0.0001  0.0190  1.290?    0.0%  -0.725  3.00e-04  29.7%/25.2%/25.8%/19.3%
     2,048     4    -0.00160  -0.0000  0.0156  1.302?    0.0%  -1.827  2.99e-04  30.3%/29.5%/22.5%/17.8%
     2,560     5    -0.00158  -0.0007  0.0090  1.297?    0.0%  -0.327  2.99e-04  29.9%/25.8%/26.0%/18.4%
     3,072     6    -0.00159  -0.0005  0.0093  1.308→    0.0%  -0.872  2.99e-04  23.2%/26.2%/31.6%/18.9%
     3,584     7    -0.00159  -0.0002  0.0074  1.298→    0.0%  -0.125  2.98e-04  28.3%/26.2%/26.2%/19.3%
     4,096     8    -0.00160  -0.0004  0.0074  1.308→    0.0%  -0.228  2.98e-04  28.9%/23.2%/28.9%/18.9%
     4,608     9    -0.00160  -0.0005  0.0061  1.306→    0.0%  -0.388  2.97e-04  29.1%/28.3%/24.2%/18.4%
     5,120    10    -0.00159  -0.0002  0.0057  1.303→    0.0%  -0.470  2.97e-04  27.5%/28.9%/25.0%/18.6%
     5,632    11    -0.00153  -0.0004  0.0044  1.312→    0.0%  -0.232  2.96e-04  26.6%/29.7%/25.8%/18.0%
