Žurnāls: ppo_trader_Realistic Mode, OP - 0.000898 (Main)_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.000898 (Main)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.000898 (Main)_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00153  -0.0006  0.0421  1.299?    0.0%  -0.163  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00163  -0.0005  0.0303  1.306?    0.0%  -0.111  3.00e-04  30.3%/25.4%/26.6%/17.8%
     1,536     3    -0.00185  -0.0000  0.0213  1.289?    0.0%  -1.154  3.00e-04  30.1%/24.8%/25.8%/19.3%
     2,048     4    -0.00187  -0.0003  0.0188  1.305?    0.0%  -0.112  2.99e-04  29.5%/29.1%/23.6%/17.8%
     2,560     5    -0.00185  -0.0002  0.0117  1.293?    0.0%  -1.826  2.99e-04  29.9%/25.4%/26.2%/18.6%
     3,072     6    -0.00185  -0.0008  0.0107  1.309→    0.0%  +0.348  2.99e-04  24.0%/26.2%/31.1%/18.8%
     3,584     7    -0.00187  -0.0003  0.0101  1.300↑    0.0%  -0.688  2.98e-04  27.7%/26.8%/26.4%/19.1%
     4,096     8    -0.00184  -0.0003  0.0080  1.305→    0.0%  -0.351  2.98e-04  30.3%/22.7%/28.3%/18.8%
     4,608     9    -0.00186  -0.0006  0.0077  1.307→    0.0%  -1.850  2.97e-04  27.7%/28.1%/25.6%/18.6%
     5,120    10    -0.00184  +0.0000  0.0057  1.295→    0.0%  +0.333  2.97e-04  29.9%/26.0%/26.0%/18.2%
     5,632    11    -0.00185  -0.0004  0.0053  1.311→    0.0%  -0.063  2.96e-04  25.4%/29.3%/26.4%/18.9%
     6,144    12    -0.00188  +0.0000  0.0043  1.311↑    0.0%  -1.655  2.95e-04  32.0%/27.9%/24.8%/15.2%
