Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_BTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 771,726 sveces  |  2019-01-05 05:00:00 → 2026-05-10 16:05:00
Izmantojam     : 330,740 sveces  |  2023-03-19 05:05:00 → 2026-05-10 16:05:00
Apmācība (~2g) : 0..220,493  (2023-03-19 05:05:00 → 2025-04-22 20:50:00)
Tests  (~1g)   : 220,493..330,740  (2025-04-22 20:55:00 → 2026-05-10 16:05:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_BTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00341  -0.0009  0.0376  1.300?    0.0%  -0.912  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.00310  -0.0007  0.0238  1.307?    0.0%  -0.054  3.00e-04  30.1%/25.8%/26.2%/18.0%
     1,536     3    -0.00305  -0.0001  0.0198  1.291?    0.0%  +0.242  3.00e-04  29.7%/26.2%/25.0%/19.1%
     2,048     4    -0.00300  -0.0002  0.0138  1.302?    0.0%  -0.126  2.99e-04  29.5%/30.5%/21.9%/18.2%
     2,560     5    -0.00301  -0.0002  0.0129  1.298?    0.0%  -0.566  2.99e-04  29.5%/27.5%/24.8%/18.2%
     3,072     6    -0.00307  -0.0003  0.0127  1.307→    0.0%  +0.089  2.99e-04  23.2%/27.0%/30.5%/19.3%
     3,584     7    -0.00309  -0.0004  0.0116  1.296→    0.0%  -0.608  2.98e-04  27.7%/27.0%/25.6%/19.7%
     4,096     8    -0.00307  -0.0004  0.0086  1.310→    0.0%  -0.324  2.98e-04  29.1%/23.8%/28.5%/18.6%
     4,608     9    -0.00309  -0.0003  0.0083  1.307→    0.0%  +0.588  2.97e-04  27.7%/28.3%/24.6%/19.3%
     5,120    10    -0.00307  -0.0008  0.0083  1.309↑    0.0%  -0.256  2.97e-04  28.1%/29.1%/25.8%/17.0%
     5,632    11    -0.00306  -0.0003  0.0096  1.307→    0.0%  +0.019  2.96e-04  25.0%/29.3%/26.0%/19.7%
