Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00365  -0.0004  0.0451  1.300?    0.0%  -0.770  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.00348  -0.0003  0.0237  1.305?    0.0%  -0.295  3.00e-04  30.9%/24.8%/26.4%/18.0%
     1,536     3    -0.00340  -0.0006  0.0174  1.291?    0.0%  -0.200  3.00e-04  30.5%/25.0%/25.4%/19.1%
     2,048     4    -0.00340  -0.0008  0.0153  1.304?    0.0%  +0.567  2.99e-04  30.1%/29.3%/22.9%/17.8%
     2,560     5    -0.00341  -0.0010  0.0149  1.296?    0.0%  +0.286  2.99e-04  31.1%/25.2%/26.0%/17.8%
     3,072     6    -0.00344  -0.0006  0.0122  1.309→    0.0%  +0.104  2.99e-04  23.8%/26.4%/31.1%/18.8%
     3,584     7    -0.00344  -0.0001  0.0105  1.301↑    0.0%  +0.251  2.98e-04  28.3%/26.4%/26.8%/18.6%
     4,096     8    -0.00344  +0.0001  0.0100  1.310→    0.0%  -0.243  2.98e-04  29.9%/22.9%/29.3%/18.0%
     4,608     9    -0.00346  -0.0007  0.0068  1.305↑    0.0%  +0.225  2.97e-04  29.7%/26.8%/25.0%/18.6%
     5,120    10    -0.00353  -0.0005  0.0076  1.303→    0.0%  +0.241  2.97e-04  29.9%/27.0%/26.2%/17.0%
     5,632    11    -0.00358  -0.0006  0.0067  1.309→    0.0%  +0.469  2.96e-04  26.6%/28.1%/26.4%/18.9%
     6,144    12    -0.00357  -0.0012  0.0066  1.309↑    0.0%  -0.024  2.95e-04  33.0%/28.5%/24.0%/14.5%
     6,656    13    -0.00361  -0.0003  0.0073  1.315↑    0.0%  -0.350  2.94e-04  26.2%/27.1%/28.9%/17.8%
     7,168    14    -0.00365  -0.0005  0.0050  1.307↑    0.0%  -0.268  2.93e-04  28.5%/25.0%/28.7%/17.8%
     7,680    15    -0.00391  -0.0005  0.0099  1.302↑    0.0%  -0.351  2.92e-04  28.5%/24.2%/29.3%/18.0%
     8,192    16    -0.00395  -0.0007  0.0053  1.297↑    0.0%  +0.175  2.91e-04  31.6%/25.4%/24.8%/18.2%
     8,704    17    -0.00404  -0.0006  0.0056  1.295→    0.0%  -0.335  2.90e-04  31.1%/25.8%/24.8%/18.4%
     9,216    18    -0.00409  -0.0004  0.0037  1.299→    0.0%  -1.392  2.89e-04  29.5%/29.7%/22.7%/18.2%
     9,728    19    -0.00409  -0.0007  0.0035  1.304→    0.0%  -0.368  2.88e-04  28.1%/25.6%/29.3%/17.0%
    10,240    20    -0.00401  -0.0002  0.0026  1.303→    0.0%  -1.127  2.86e-04  28.3%/26.0%/28.3%/17.4%
    10,752    21    -0.00396  -0.0009  0.0030  1.303→    0.0%  -1.143  2.85e-04  29.9%/25.0%/28.3%/16.8%
