Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00332  -0.0006  0.0428  1.299?    0.0%  -0.125  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00332  -0.0004  0.0325  1.306?    0.0%  -0.077  3.00e-04  30.1%/25.6%/26.6%/17.8%
     1,536     3    -0.00352  -0.0000  0.0248  1.289?    0.0%  -1.319  3.00e-04  30.1%/24.8%/25.8%/19.3%
     2,048     4    -0.00354  -0.0005  0.0218  1.304?    0.0%  +0.012  2.99e-04  30.1%/29.1%/23.0%/17.8%
     2,560     5    -0.00350  -0.0003  0.0127  1.293?    0.0%  -2.280  2.99e-04  30.1%/25.2%/26.2%/18.6%
     3,072     6    -0.00352  -0.0007  0.0125  1.309→    0.0%  +0.333  2.99e-04  24.0%/26.2%/31.1%/18.8%
     3,584     7    -0.00354  -0.0002  0.0118  1.300↑    0.0%  -0.667  2.98e-04  27.5%/27.1%/26.2%/19.1%
     4,096     8    -0.00351  -0.0004  0.0089  1.304→    0.0%  -0.110  2.98e-04  30.3%/22.9%/28.1%/18.8%
     4,608     9    -0.00355  -0.0005  0.0089  1.307→    0.0%  -1.325  2.97e-04  27.9%/27.9%/25.6%/18.6%
     5,120    10    -0.00352  +0.0000  0.0065  1.296→    0.0%  +0.240  2.97e-04  29.9%/26.0%/26.2%/18.0%
     5,632    11    -0.00354  -0.0004  0.0060  1.312→    0.0%  +0.069  2.96e-04  25.6%/28.7%/27.0%/18.8%
     6,144    12    -0.00355  -0.0001  0.0050  1.311↑    0.0%  -1.314  2.95e-04  32.0%/27.9%/25.0%/15.0%
