Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_SOL.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 563,641 sveces  |  2020-08-15 11:00:00 → 2025-12-25 13:20:00
Izmantojam     : 241,561 sveces  |  2023-09-08 19:20:00 → 2025-12-25 13:20:00
Apmācība (~2g) : 0..161,040  (2023-09-08 19:20:00 → 2025-03-20 23:15:00)
Tests  (~1g)   : 161,040..241,561  (2025-03-20 23:20:00 → 2025-12-25 13:20:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_SOL/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00583  -0.0013  0.0385  1.299?    0.0%  -0.123  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00531  -0.0003  0.0296  1.305?    0.0%  -0.593  3.00e-04  30.7%/25.0%/26.4%/18.0%
     1,536     3    -0.00547  -0.0004  0.0203  1.289?    0.0%  -1.040  3.00e-04  30.7%/24.2%/25.8%/19.3%
     2,048     4    -0.00588  +0.0001  0.0221  1.301?    0.0%  -0.244  2.99e-04  30.5%/29.9%/21.7%/18.0%
     2,560     5    -0.00599  -0.0006  0.0154  1.291?    0.0%  +0.429  2.99e-04  30.9%/24.2%/26.4%/18.6%
     3,072     6    -0.00624  -0.0003  0.0195  1.306→    0.0%  +0.565  2.99e-04  23.8%/26.6%/29.9%/19.7%
     3,584     7    -0.00655  -0.0000  0.0154  1.298→    0.0%  -0.265  2.98e-04  27.7%/27.0%/25.6%/19.7%
     4,096     8    -0.00667  -0.0003  0.0171  1.307→    0.0%  +0.737  2.98e-04  29.5%/23.4%/27.7%/19.3%
     4,608     9    -0.00682  -0.0004  0.0135  1.306→    0.0%  -0.517  2.97e-04  28.7%/26.6%/25.8%/18.9%
     5,120    10    -0.00677  -0.0005  0.0122  1.302→    0.0%  +0.038  2.97e-04  27.1%/27.7%/25.8%/19.3%
     5,632    11    -0.00675  +0.0002  0.0089  1.311→    0.0%  +0.004  2.96e-04  26.0%/27.7%/26.8%/19.5%
