Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.00371  -0.0010  0.0377  1.299?    0.0%  -0.362  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.00373  +0.0000  0.0280  1.305?    0.0%  +0.465  3.00e-04  30.9%/25.0%/26.2%/18.0%
     1,536     3    -0.00395  +0.0001  0.0233  1.290?    0.0%  +0.561  3.00e-04  29.9%/25.0%/25.8%/19.3%
     2,048     4    -0.00385  -0.0005  0.0195  1.301?    0.0%  +0.628  2.99e-04  30.7%/29.5%/21.9%/18.0%
     2,560     5    -0.00387  -0.0002  0.0120  1.289?    0.0%  -0.267  2.99e-04  30.5%/24.8%/26.0%/18.8%
     3,072     6    -0.00384  -0.0005  0.0134  1.306→    0.0%  +0.735  2.99e-04  23.6%/26.4%/30.3%/19.7%
     3,584     7    -0.00379  -0.0002  0.0116  1.300→    0.0%  -0.025  2.98e-04  27.9%/26.6%/26.4%/19.1%
     4,096     8    -0.00369  -0.0002  0.0093  1.308→    0.0%  +0.088  2.98e-04  30.1%/22.3%/28.9%/18.8%
     4,608     9    -0.00371  -0.0008  0.0088  1.307↑    0.0%  -0.013  2.97e-04  28.5%/27.7%/25.2%/18.6%
     5,120    10    -0.00365  +0.0004  0.0070  1.300→    0.0%  +0.181  2.97e-04  27.5%/27.9%/25.6%/18.9%
     5,632    11    -0.00360  -0.0006  0.0052  1.313→    0.0%  -0.245  2.96e-04  26.6%/29.7%/25.4%/18.4%
     6,144    12    -0.00354  +0.0001  0.0052  1.313↑    0.0%  -0.941  2.95e-04  30.1%/28.7%/25.4%/15.8%
     6,656    13    -0.00343  -0.0004  0.0045  1.317↑    0.0%  -0.447  2.94e-04  24.6%/29.3%/27.7%/18.4%
     7,168    14    -0.00344  -0.0012  0.0056  1.310↑    0.0%  -2.634  2.93e-04  25.0%/26.0%/30.3%/18.8%
     7,680    15    -0.00343  -0.0001  0.0049  1.301↑    0.0%  -0.618  2.92e-04  28.9%/25.8%/27.3%/18.0%
     8,192    16    -0.00347  -0.0003  0.0048  1.294↑    0.0%  -1.960  2.91e-04  29.3%/26.4%/25.2%/19.1%
     8,704    17    -0.00350  -0.0003  0.0041  1.299→    0.0%  +0.320  2.90e-04  30.7%/25.0%/26.0%/18.4%
     9,216    18    -0.00357  +0.0000  0.0036  1.302→    0.0%  +0.588  2.89e-04  30.5%/29.7%/22.1%/17.8%
     9,728    19    -0.00359  -0.0004  0.0045  1.308→    0.0%  +0.450  2.88e-04  25.6%/26.4%/30.7%/17.4%
    10,240    20    -0.00367  -0.0004  0.0040  1.308↑    0.0%  +0.196  2.86e-04  26.4%/27.7%/28.7%/17.2%
    10,752    21    -0.00368  -0.0012  0.0040  1.303↑    0.0%  -0.773  2.85e-04  28.3%/26.4%/27.7%/17.6%
    11,264    22    -0.00376  -0.0006  0.0035  1.297↑    0.0%  -0.348  2.84e-04  26.2%/29.9%/24.6%/19.3%
    11,776    23    -0.00390  -0.0005  0.0049  1.294↑    0.0%  -1.434  2.82e-04  31.4%/25.2%/25.6%/17.8%
    12,288    24    -0.00392  -0.0008  0.0037  1.313↑    0.0%  +0.035  2.81e-04  30.7%/29.7%/23.2%/16.4%
    12,800    25    -0.00397  -0.0015  0.0048  1.292→    0.0%  -0.433  2.79e-04  29.5%/27.3%/24.2%/18.9%
    13,312    26    -0.00395  -0.0004  0.0039  1.311→    0.0%  +0.253  2.77e-04  29.1%/28.9%/26.2%/15.8%
    13,824    27    -0.00393  +0.0001  0.0026  1.308→    0.0%  -0.160  2.75e-04  30.7%/27.9%/26.2%/15.2%
    14,336    28    -0.00388  -0.0019  0.0030  1.300→    0.0%  -0.136  2.74e-04  33.4%/24.4%/25.4%/16.8%
    14,848    29    -0.00382  -0.0017  0.0024  1.303→    0.0%  +0.149  2.72e-04  28.7%/27.9%/25.2%/18.2%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_XRP\ckpt_step0014848.pth  [20% apmācības]
    15,360    30    -0.00382  -0.0023  0.0026  1.285→    0.0%  -0.377  2.70e-04  31.1%/24.0%/26.8%/18.2%
    15,872    31    -0.00385  -0.0012  0.0030  1.288→    0.0%  -0.134  2.68e-04  31.4%/24.6%/27.3%/16.6%
    16,384    32    -0.00385  +0.0011  0.0026  1.251↓    0.0%  +0.478  2.66e-04  40.4%/20.5%/21.3%/17.8%
    16,896    33    -0.00380  -0.0014  0.0046  1.288↓    0.0%  +0.520  2.64e-04  36.1%/27.5%/20.3%/16.0%
    17,408    34    -0.00392  -0.0010  0.0042  1.275↓    0.0%  +0.359  2.62e-04  34.0%/27.1%/22.3%/16.6%
    17,920    35    -0.00380  -0.0023  0.0037  1.276↓    0.0%  -0.190  2.60e-04  31.4%/31.6%/20.1%/16.8%
    18,432    36    -0.00379  -0.0041  0.0033  1.251↓    0.2%  +0.168  2.57e-04  38.3%/23.2%/21.7%/16.8%
    18,944    37    -0.00377  -0.0032  0.0023  1.243↓    0.0%  +0.591  2.55e-04  38.7%/26.2%/18.4%/16.8%
    19,456    38    -0.00378  -0.0036  0.0020  1.261↓    0.3%  -0.538  2.53e-04  38.3%/27.0%/18.8%/16.0%
    19,968    39    -0.00368  -0.0010  0.0021  1.219↓    0.0%  -1.543  2.50e-04  44.1%/23.8%/17.2%/14.8%
    20,480    40    -0.00362  -0.0026  0.0020  1.263↓    0.3%  -0.912  2.48e-04  32.0%/28.3%/23.2%/16.4%
    20,992    41    -0.00360  -0.0058  0.0017  1.188↓    0.5%  -0.657  2.45e-04  42.0%/25.2%/17.2%/15.6%
    21,504    42    -0.00348  -0.0027  0.0021  1.241↓    0.3%  -1.171  2.43e-04  43.8%/26.6%/17.0%/12.7%
    22,016    43    -0.00332  -0.0006  0.0018  1.145↓    0.2%  -1.167  2.40e-04  52.3%/20.1%/15.0%/12.5%
    22,528    44    -0.00306  -0.0010  0.0021  1.180↓    0.0%  +0.149  2.38e-04  45.5%/27.5%/13.9%/13.1%
    23,040    45    -0.00301  -0.0026  0.0016  1.146↓    0.4%  -2.049  2.35e-04  51.8%/21.3%/14.6%/12.3%
    23,552    46    -0.00281  +0.0016  0.0016  1.168↓    0.1%  -0.271  2.33e-04  49.8%/19.7%/18.9%/11.5%
    24,064    47    -0.00273  -0.0014  0.0019  1.186↓    0.2%  -0.058  2.30e-04  49.6%/20.3%/17.6%/12.5%
    24,576    48    -0.00267  -0.0034  0.0015  1.127↓    0.0%  -0.264  2.27e-04  53.7%/22.1%/11.3%/12.9%
    25,088    49    -0.00266  -0.0050  0.0022  1.162↓    1.5%  +0.369  2.24e-04  47.7%/22.5%/16.4%/13.5%
    25,600    50    -0.00263  -0.0013  0.0019  1.048↓    0.3%  -1.076  2.22e-04  56.8%/18.6%/12.1%/12.5%
    26,112    51    -0.00261  -0.0013  0.0021  1.066↓    0.1%  -0.176  2.19e-04  59.2%/18.4%/11.5%/10.9%
    26,624    52    -0.00263  -0.0014  0.0055  1.037↓    0.0%  -0.099  2.16e-04  60.7%/20.7%/ 9.0%/ 9.6%
    27,136    53    -0.00265  -0.0033  0.0028  1.101↓    0.4%  -0.156  2.13e-04  56.8%/19.7%/11.9%/11.5%
    27,648    54    -0.00267  -0.0012  0.0024  0.977↓    0.1%  -0.412  2.10e-04  61.5%/18.4%/ 9.8%/10.4%
    28,160    55    -0.00257  -0.0010  0.0019  1.009↓    0.1%  +0.015  2.07e-04  65.2%/16.8%/ 9.0%/ 9.0%
    28,672    56    -0.00258  -0.0022  0.0016  0.997↓    0.0%  -0.362  2.04e-04  65.4%/15.4%/ 8.8%/10.4%
    29,184    57    -0.00257  -0.0006  0.0012  1.018↓    0.1%  -1.062  2.01e-04  59.0%/20.5%/ 9.8%/10.7%
    29,696    58    -0.00253  -0.0006  0.0017  0.988↓    0.5%  -0.399  1.98e-04  62.5%/15.4%/11.7%/10.4%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_XRP\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00241  -0.0001  0.0019  0.981↓    0.2%  -0.142  1.95e-04  61.5%/19.1%/ 9.0%/10.4%
    30,720    60    -0.00233  +0.0034  0.0024  1.006↓    0.2%  -0.221  1.92e-04  62.5%/16.8%/11.3%/ 9.4%
    31,232    61    -0.00221  -0.0000  0.0015  0.961↓    0.1%  +0.182  1.89e-04  66.2%/16.0%/ 7.6%/10.2%
    31,744    62    -0.00210  -0.0011  0.0013  0.984↓    0.0%  +0.685  1.86e-04  63.5%/18.4%/ 8.6%/ 9.6%
    32,256    63    -0.00209  -0.0003  0.0019  1.001↓    0.0%  +0.368  1.82e-04  64.6%/19.1%/ 7.6%/ 8.6%
    32,768    64    -0.00196  -0.0008  0.0013  0.989↓    0.0%  +0.105  1.79e-04  60.9%/20.7%/ 9.0%/ 9.4%
    33,280    65    -0.00204  +0.0014  0.0020  0.966↓    0.0%  +0.343  1.76e-04  63.3%/18.9%/ 9.4%/ 8.4%
    33,792    66    -0.00199  -0.0001  0.0015  0.982↓    0.0%  -0.504  1.73e-04  61.7%/21.5%/ 8.2%/ 8.6%
    34,304    67    -0.00196  -0.0015  0.0013  0.945↓    0.0%  -0.184  1.70e-04  64.6%/18.8%/ 7.8%/ 8.8%
    34,816    68    -0.00200  -0.0010  0.0012  0.940↓    0.0%  -0.653  1.67e-04  63.3%/18.8%/ 9.4%/ 8.6%
    35,328    69    -0.00218  +0.0005  0.0019  0.939↓    0.1%  +0.229  1.63e-04  66.8%/17.2%/ 8.6%/ 7.4%
    35,840    70    -0.00219  -0.0001  0.0016  0.943↓    0.0%  +0.379  1.60e-04  65.8%/16.2%/ 8.2%/ 9.8%
    36,352    71    -0.00217  -0.0008  0.0016  0.959↓    0.0%  +0.156  1.57e-04  64.3%/21.5%/ 7.0%/ 7.2%
    36,864    72    -0.00218  +0.0010  0.0011  0.911↓    0.1%  -0.251  1.54e-04  64.3%/18.9%/ 7.8%/ 9.0%
    37,376    73    -0.00206  -0.0021  0.0021  0.927↓    0.0%  +0.396  1.50e-04  68.9%/17.0%/ 5.5%/ 8.6%
    37,888    74    -0.00212  -0.0004  0.0013  0.924↓    0.0%  -0.443  1.47e-04  65.2%/18.0%/ 7.4%/ 9.4%
    38,400    75    -0.00204  +0.0009  0.0011  0.929↓    0.0%  -1.713  1.44e-04  68.8%/15.4%/ 6.6%/ 9.2%
    38,912    76    -0.00201  -0.0024  0.0013  0.953↓    0.0%  -1.347  1.41e-04  65.6%/17.2%/ 9.0%/ 8.2%
    39,424    77    -0.00194  +0.0005  0.0010  0.931↓    0.0%  -1.248  1.38e-04  67.8%/16.6%/ 7.4%/ 8.2%
    39,936    78    -0.00184  -0.0013  0.0010  0.918↓    0.0%  -0.725  1.34e-04  68.0%/17.2%/ 6.2%/ 8.6%
    40,448    79    -0.00198  -0.0000  0.0105  0.973↓    0.0%  +0.102  1.31e-04  65.2%/18.0%/ 8.6%/ 8.2%
    40,960    80    -0.00194  -0.0012  0.0013  0.940↓    0.0%  +0.377  1.28e-04  64.1%/18.2%/ 6.8%/10.9%
    41,472    81    -0.00186  +0.0006  0.0044  0.971↓    0.0%  -0.094  1.25e-04  65.2%/17.6%/ 7.2%/10.0%
    41,984    82    -0.00185  +0.0007  0.0011  0.969↓    0.0%  -0.291  1.22e-04  67.8%/15.4%/ 8.2%/ 8.6%
    42,496    83    -0.00190  -0.0014  0.0011  0.926↓    0.0%  -1.967  1.19e-04  63.5%/16.6%/ 9.0%/10.9%
    43,008    84    -0.00190  -0.0011  0.0011  0.971↓    0.0%  -2.369  1.15e-04  61.3%/21.9%/ 7.4%/ 9.4%
    43,520    85    -0.00196  -0.0008  0.0014  0.911↓    0.0%  -0.078  1.12e-04  67.8%/17.0%/ 6.4%/ 8.8%
    44,032    86    -0.00200  +0.0018  0.0024  0.957↓    0.1%  -1.335  1.09e-04  66.0%/18.9%/ 6.8%/ 8.2%
    44,544    87    -0.00240  -0.0003  0.0415  0.938↓    0.0%  +0.030  1.06e-04  65.2%/16.0%/ 8.8%/10.0%
