Žurnāls: ppo_trader_Risk Control Mode_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.01273  -0.0005  0.0623  1.300?    0.0%  -1.497  3.00e-04  25.0%/28.5%/26.8%/19.7%
     1,024     2    -0.02320  -0.0001  0.1654  1.305?    0.0%  +0.095  3.00e-04  30.7%/25.0%/26.4%/18.0%
     1,536     3    -0.03144  +0.0000  0.2928  1.291?    0.0%  -0.895  3.00e-04  29.9%/25.2%/25.8%/19.1%
     2,048     4    -0.03963  +0.0000  0.4785  1.304?    0.0%  -0.298  2.99e-04  30.3%/29.1%/22.9%/17.8%
     2,560     5    -0.04664  -0.0001  0.5969  1.291?    0.0%  -0.180  2.99e-04  30.9%/24.8%/26.0%/18.4%
     3,072     6    -0.05438  -0.0001  0.7877  1.309→    0.0%  -0.736  2.99e-04  23.6%/26.4%/31.1%/18.9%
     3,584     7    -0.06108  -0.0003  0.7154  1.299→    0.0%  -0.420  2.98e-04  28.3%/26.4%/26.0%/19.3%
     4,096     8    -0.06762  -0.0002  0.8864  1.308→    0.0%  +0.098  2.98e-04  29.3%/23.4%/27.9%/19.3%
     4,608     9    -0.07344  +0.0002  0.9056  1.305→    0.0%  +0.434  2.97e-04  29.5%/26.4%/25.2%/18.9%
     5,120    10    -0.07900  -0.0006  1.1163  1.301→    0.0%  -0.339  2.97e-04  27.1%/28.1%/25.2%/19.5%
     5,632    11    -0.09181  +0.0001  1.2760  1.308→    0.0%  -0.083  2.96e-04  27.5%/27.5%/25.4%/19.5%
     6,144    12    -0.10261  -0.0007  1.2358  1.312↑    0.0%  -0.443  2.95e-04  30.7%/29.9%/23.8%/15.6%
     6,656    13    -0.11303  -0.0001  1.5556  1.310↑    0.0%  -0.129  2.94e-04  27.3%/26.0%/27.7%/18.9%
     7,168    14    -0.12191  -0.0004  1.3898  1.304↑    0.0%  -0.593  2.93e-04  27.7%/25.0%/28.1%/19.1%
     7,680    15    -0.12996  -0.0013  1.3290  1.296↑    0.0%  -0.021  2.92e-04  29.3%/23.6%/28.1%/18.9%
     8,192    16    -0.13604  -0.0003  1.3232  1.284→    0.0%  -0.085  2.91e-04  32.2%/23.0%/25.2%/19.5%
     8,704    17    -0.14210  -0.0007  1.5611  1.292↓    0.0%  -0.022  2.90e-04  31.6%/24.0%/25.0%/19.3%
     9,216    18    -0.14680  -0.0019  1.2899  1.290↓    0.0%  -0.066  2.89e-04  35.5%/25.2%/21.5%/17.8%
     9,728    19    -0.15145  -0.0016  1.4440  1.297↓    0.0%  -0.003  2.88e-04  29.1%/23.4%/29.9%/17.6%
