Žurnāls: ppo_trader_Risk Control Mode_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.01130  -0.0005  0.0442  1.299?    0.0%  -0.838  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.01940  +0.0000  0.1533  1.306?    0.0%  +0.144  3.00e-04  31.1%/25.2%/26.2%/17.6%
     1,536     3    -0.02681  -0.0000  0.2405  1.289?    0.0%  -0.716  3.00e-04  29.7%/25.2%/25.8%/19.3%
     2,048     4    -0.03417  -0.0001  0.3596  1.302?    0.0%  +0.019  2.99e-04  30.7%/29.3%/22.5%/17.6%
     2,560     5    -0.04086  -0.0000  0.3411  1.298?    0.0%  -0.621  2.99e-04  29.3%/25.8%/26.4%/18.6%
     3,072     6    -0.04757  -0.0003  0.4192  1.307→    0.0%  +0.022  2.99e-04  23.4%/26.4%/30.9%/19.3%
     3,584     7    -0.05371  -0.0006  0.5528  1.298→    0.0%  +0.024  2.98e-04  28.7%/25.8%/26.2%/19.3%
     4,096     8    -0.05982  -0.0002  0.5865  1.309→    0.0%  -0.549  2.98e-04  29.7%/23.8%/27.5%/18.9%
     4,608     9    -0.06522  -0.0005  0.6309  1.306→    0.0%  -0.042  2.97e-04  29.7%/26.4%/25.4%/18.6%
     5,120    10    -0.07010  -0.0005  0.6581  1.300→    0.0%  -0.044  2.97e-04  27.7%/27.5%/25.0%/19.7%
