Žurnāls: ppo_trader_Risk Control Mode_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.01086  -0.0006  0.0450  1.299?    0.0%  -0.139  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.01980  -0.0001  0.1454  1.306?    0.0%  +0.107  3.00e-04  30.1%/25.6%/26.6%/17.8%
     1,536     3    -0.02883  -0.0000  0.3024  1.289?    0.0%  -0.791  3.00e-04  30.3%/24.6%/25.8%/19.3%
     2,048     4    -0.03800  +0.0000  0.4818  1.303?    0.0%  -0.152  2.99e-04  30.1%/29.5%/22.7%/17.8%
     2,560     5    -0.04559  -0.0001  0.5158  1.291?    0.0%  -0.108  2.99e-04  30.5%/24.8%/26.4%/18.4%
     3,072     6    -0.05366  -0.0005  0.7191  1.310→    0.0%  -0.389  2.99e-04  23.8%/26.2%/31.1%/18.9%
     3,584     7    -0.06071  +0.0001  0.6539  1.300↑    0.0%  +0.028  2.98e-04  28.1%/26.6%/26.2%/19.1%
     4,096     8    -0.06749  +0.0001  0.8082  1.307→    0.0%  -0.161  2.98e-04  29.7%/23.6%/27.5%/19.1%
     4,608     9    -0.07354  -0.0004  0.8967  1.306→    0.0%  -0.383  2.97e-04  28.9%/27.1%/25.0%/18.9%
     5,120    10    -0.07890  -0.0006  0.9865  1.300→    0.0%  -0.087  2.97e-04  27.9%/27.7%/24.6%/19.7%
