Žurnāls: ppo_trader_Risk Control Mode_SOL.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 563,641 sveces  |  2020-08-15 11:00:00 → 2025-12-25 13:20:00
Izmantojam     : 241,561 sveces  |  2023-09-08 19:20:00 → 2025-12-25 13:20:00
Apmācība (~2g) : 0..161,040  (2023-09-08 19:20:00 → 2025-03-20 23:15:00)
Tests  (~1g)   : 161,040..241,561  (2025-03-20 23:20:00 → 2025-12-25 13:20:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_SOL/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.02928  -0.0012  0.1307  1.299?    0.0%  -0.597  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.04800  +0.0000  0.6880  1.305?    0.0%  -0.041  3.00e-04  30.7%/25.0%/26.4%/18.0%
     1,536     3    -0.06394  -0.0003  1.5333  1.289?    0.0%  +0.333  3.00e-04  30.7%/24.2%/25.8%/19.3%
     2,048     4    -0.07839  -0.0000  2.1943  1.302?    0.0%  -0.062  2.99e-04  30.1%/29.9%/21.9%/18.2%
     2,560     5    -0.08897  -0.0004  1.9866  1.289?    0.0%  +0.349  2.99e-04  31.1%/24.0%/26.4%/18.6%
     3,072     6    -0.10007  -0.0002  2.6460  1.304→    0.0%  +0.317  2.99e-04  22.7%/26.8%/30.5%/20.1%
     3,584     7    -0.10869  -0.0002  2.5538  1.294→    0.0%  -0.214  2.98e-04  28.5%/26.2%/25.4%/19.9%
     4,096     8    -0.11666  -0.0002  2.7507  1.305→    0.0%  -0.180  2.98e-04  29.1%/23.2%/28.1%/19.5%
     4,608     9    -0.12330  +0.0000  2.8705  1.303→    0.0%  -0.127  2.97e-04  29.9%/25.2%/25.6%/19.3%
     5,120    10    -0.12861  -0.0004  2.7076  1.300→    0.0%  -0.056  2.97e-04  27.7%/26.8%/25.8%/19.7%
     5,632    11    -0.14405  -0.0004  2.8264  1.306→    0.0%  +0.060  2.96e-04  27.1%/27.3%/25.6%/19.9%
     6,144    12    -0.15530  -0.0010  2.5259  1.309↑    0.0%  +0.021  2.95e-04  30.9%/28.9%/24.0%/16.2%
     6,656    13    -0.16436  -0.0002  2.7657  1.306↑    0.0%  +0.099  2.94e-04  27.1%/25.4%/27.5%/19.9%
     7,168    14    -0.17029  -0.0006  2.3593  1.298↑    0.0%  -0.026  2.93e-04  28.7%/23.4%/28.1%/19.7%
     7,680    15    -0.17477  -0.0009  2.1845  1.287→    0.0%  -0.045  2.92e-04  30.7%/23.0%/26.6%/19.7%
     8,192    16    -0.17621  -0.0016  1.7927  1.277↓    0.0%  +0.003  2.91e-04  32.8%/22.9%/24.4%/19.9%
     8,704    17    -0.17764  -0.0024  1.9298  1.277↓    0.0%  +0.008  2.90e-04  33.0%/22.9%/24.0%/20.1%
     9,216    18    -0.17785  -0.0030  1.6799  1.274↓    0.0%  -0.014  2.89e-04  35.9%/23.8%/20.9%/19.3%
     9,728    19    -0.17808  -0.0017  1.8206  1.273↓    0.0%  -0.013  2.88e-04  31.1%/21.9%/27.5%/19.5%
    10,240    20    -0.17764  -0.0031  1.4923  1.251↓    0.0%  -0.025  2.86e-04  34.8%/21.1%/24.6%/19.5%
    10,752    21    -0.17549  -0.0062  1.1576  1.223↓    0.0%  +0.004  2.85e-04  37.9%/21.1%/22.1%/18.9%
    11,264    22    -0.17363  -0.0065  1.0428  1.184↓    0.0%  -0.012  2.84e-04  39.8%/20.1%/18.9%/21.1%
    11,776    23    -0.16974  -0.0140  0.7870  1.130↓    0.0%  +0.001  2.82e-04  47.7%/16.2%/17.8%/18.4%
    12,288    24    -0.16673  -0.0095  0.7960  1.065↓    0.1%  -0.019  2.81e-04  48.0%/17.6%/16.0%/18.4%
    12,800    25    -0.16184  -0.0142  0.3218  0.948↓    2.3%  +0.003  2.79e-04  57.4%/13.9%/12.3%/16.4%
    13,312    26    -0.15703  -0.0174  0.3069  0.829↓    5.9%  +0.006  2.77e-04  62.5%/11.5%/10.4%/15.6%
    13,824    27    -0.14847  -0.0179  0.2358  0.672↓    5.0%  -0.003  2.75e-04  72.1%/ 7.6%/ 8.6%/11.7%
    14,336    28    -0.13762  -0.0139  0.3488  0.550↓    0.2%  -0.009  2.74e-04  81.1%/ 5.5%/ 4.3%/ 9.2%
