Žurnāls: ppo_trader_Risk Control Mode_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
────────────────────────────────────────────────────────────────────────────────
       512     1    -0.01245  -0.0008  0.0480  1.299?    0.0%  -0.382  3.00e-04  25.2%/28.5%/26.6%/19.7%
     1,024     2    -0.02349  +0.0001  0.2022  1.305?    0.0%  +0.432  3.00e-04  30.9%/25.0%/26.2%/18.0%
     1,536     3    -0.03506  +0.0001  0.4998  1.289?    0.0%  +0.117  3.00e-04  29.7%/25.2%/25.8%/19.3%
     2,048     4    -0.04523  -0.0000  0.7035  1.303?    0.0%  -0.502  2.99e-04  30.7%/29.9%/21.5%/18.0%
     2,560     5    -0.05428  -0.0003  0.9236  1.294?    0.0%  -0.662  2.99e-04  29.9%/25.6%/25.8%/18.8%
     3,072     6    -0.06296  -0.0003  0.9359  1.307→    0.0%  -0.118  2.99e-04  23.6%/26.8%/30.1%/19.5%
     3,584     7    -0.07014  -0.0003  0.8053  1.298→    0.0%  +0.012  2.98e-04  28.7%/25.8%/25.8%/19.7%
     4,096     8    -0.07682  +0.0000  0.9684  1.307→    0.0%  -0.421  2.98e-04  29.9%/23.4%/27.7%/18.9%
     4,608     9    -0.08271  +0.0001  1.0768  1.306→    0.0%  -0.443  2.97e-04  29.3%/27.0%/25.0%/18.8%
     5,120    10    -0.08782  -0.0006  1.1180  1.300→    0.0%  -0.242  2.97e-04  27.7%/27.5%/25.0%/19.7%
     5,632    11    -0.10091  +0.0001  1.2832  1.307→    0.0%  -0.573  2.96e-04  27.9%/27.1%/25.2%/19.7%
     6,144    12    -0.11172  -0.0010  1.2188  1.307↑    0.0%  -0.218  2.95e-04  31.2%/29.7%/23.0%/16.0%
     6,656    13    -0.12106  -0.0004  1.4100  1.308↑    0.0%  -0.057  2.94e-04  27.9%/25.2%/27.7%/19.1%
     7,168    14    -0.12860  -0.0006  1.2451  1.300↑    0.0%  -0.132  2.93e-04  28.5%/23.6%/28.3%/19.5%
     7,680    15    -0.13459  -0.0007  1.2536  1.291→    0.0%  -0.242  2.92e-04  31.1%/23.2%/26.8%/18.9%
     8,192    16    -0.13881  -0.0010  1.1058  1.277↓    0.0%  -0.135  2.91e-04  33.2%/22.9%/24.2%/19.7%
