direction,open_time,open_price,open_idx,slip_open,comm_open,close_time,close_price,duration_min,pnl_pct,pnl_usd,slip_close,comm_total
SHORT,2025-08-01 04:05:00,115487.18061989087,249379,0.0360967678332092,0.0004,2025-10-10 21:30:00,110266.51287560455,101845,2.7887927033228994,27.866705222141025,1.6917676881108412,0.08
LONG,2025-10-10 21:30:00,110297.0234375,269748,1.7199020832777023,0.0004,2025-10-11 04:00:00,112197.11793624354,390,1.5910933674300576,16.05460435001941,0.09161359194698114,0.08
SHORT,2025-10-11 04:05:00,112260.43349191976,269827,0.031546918361385665,0.0004,2025-10-11 05:15:00,112721.85709980523,70,-0.5055817410298715,-5.178930964841397,0.054552143572735426,0.08
LONG,2025-10-11 05:20:00,112458.09937963048,269842,0.09359958179150737,0.0004,2026-02-06 02:10:00,64944.31640625,169730,-42.64085498098379,-434.0030267924991,0.350645137950778,0.08
SHORT,2026-02-06 02:15:00,64634.58984375,303789,0.34273783676326275,0.0004,2026-02-06 02:20:00,65085.27734375,5,-1.202585709563736,-6.993912005900165,0.46530039981007576,0.08
SHORT,2026-02-06 02:25:00,64227.203125,303791,0.2415184397250414,0.0004,2026-02-06 02:35:00,65036.91796875,10,-1.6112430112756828,-9.231800419458562,0.31053912825882435,0.08
SHORT,2026-02-06 02:40:00,64876.655536310915,303794,0.2793415068267161,0.0004,2026-02-06 02:45:00,65467.91878926345,5,-1.377951162398577,-7.743112300710949,0.4265859755454861,0.08
SHORT,2026-02-06 02:50:00,64792.13894094444,303796,0.31297469735896805,0.0004,2026-02-06 02:55:00,65002.859375,5,-0.5519171612512159,-3.047852810231674,0.18669185228645802,0.08
SHORT,2026-02-06 03:00:00,64812.3984375,303798,0.2734400564804673,0.0004,2026-02-06 03:05:00,65084.85887183182,5,-0.6749613795734635,-3.695149720819068,0.21457817990749192,0.08
LONG,2026-02-06 03:25:00,64720.27734375,303803,0.2315895166248083,0.0004,2026-02-06 06:20:00,65657.375,175,1.2076468062283632,6.548935196862045,0.20027291029691696,0.08
SHORT,2026-02-06 06:25:00,65641.671875,303839,0.23288517259061337,0.0004,2026-02-06 06:30:00,66016.35634285101,5,-0.8762316112089681,-4.795967756424583,0.2654288617535412,0.08
SHORT,2026-02-06 06:35:00,65238.29296875,303841,0.24658518377691507,0.0004,2026-02-06 06:45:00,65275.03125,10,-0.39195381276850866,-2.120428461758209,0.2956398297101259,0.08
SHORT,2026-02-06 06:50:00,64787.37181316335,303844,0.2450322602017487,0.0004,2026-02-06 07:00:00,65153.02734375,10,-0.8579305819380225,-4.609944057099691,0.25353736709803343,0.08
SHORT,2026-02-06 07:05:00,64618.35546875,303847,0.32846066169440746,0.0004,2026-02-06 08:15:00,65287.231360062404,70,-1.3490169398250678,-7.160044631926038,0.2738994620429568,0.08
LONG,2026-02-06 08:15:00,65289.520698167966,303861,0.27741562981803014,0.0004,2026-05-10 15:55:00,81314.05816560678,134380,24.463067334337662,127.68207835270731,0.04074505099121974,0.08
